r, v_phi_cs, cs, vr_cs, sigma, Mdisk, Ew, Mdot_acc, Qtoomre, Mdisk_Menv, Rcj, dlnJ_dlnx, J, factor3
5.693367563089079013e-04,1.982850138612239732e+01,9.964501376604886218e-01,1.747483289552099511e-06,4.027031923287992477e+08,2.504811151003515481e-04,0.000000000000000000e+00,8.505301022083243184e-08,3.202621528846305021e-01,5.337900261683989605e-04,4.454985747573615141e-07,6.842107804379073954e-01,1.134689041358711735e-03,1.206392999519656107e-08
6.433000436467169614e-04,1.940951132933011891e+01,9.795679702371060671e-01,1.966532247929203950e-06,3.336983997714235187e+08,2.620757119506205964e-04,1.036695101695319504e-02,8.809883074495993734e-08,3.240593213360341007e-01,5.584987957442513534e-04,5.199044784123113211e-07,6.862606440779414063e-01,1.233743656649521686e-03,1.431194838954014347e-08
7.172633309845260216e-04,1.904738905793225001e+01,9.647777857584164396e-01,2.185537189365369133e-06,2.822760508552313447e+08,2.729725412155542129e-04,2.665543229440869508e-02,9.095047017659484331e-08,3.275005821426768549e-01,5.817205814511345078e-04,5.965595444604143172e-07,6.880524484918073558e-01,1.329546560771976190e-03,1.666370511385201930e-08
1.169364840605525068e-03,1.754182194108917159e+01,9.011869345256822150e-01,3.526399066722450096e-06,1.333329657276328504e+08,3.293396655385767767e-04,3.904861033930728254e-01,1.055603220133267833e-07,3.436272418812973961e-01,7.018422471318754496e-04,1.105223792997996173e-06,6.956864201686786542e-01,1.864669173148777222e-03,3.295305298923113846e-08
1.787854716532282905e-03,1.637545715896252219e+01,8.494977974996544834e-01,5.373126323919745797e-06,6.962394304002454877e+07,3.899046760435327316e-04,3.312734034375496961e+00,1.210450234491339664e-07,3.585790790308052700e-01,8.309098557992101531e-04,1.886172628487462867e-06,7.017587463535226444e-01,2.508707852801607754e-03,5.948698408217342248e-08
2.764822940610655016e-03,1.529545355056204414e+01,7.996189384189167360e-01,8.324142362042032941e-06,3.578389186468417943e+07,4.660934766189082923e-04,2.796433490248625020e+01,1.402956671073696160e-07,3.748746392587887222e-01,9.932726823802691656e-04,3.262416522618524948e-06,7.074521416367688387e-01,3.410946672796749506e-03,1.089466317818691153e-07
4.271409604028972122e-03,1.432072534660436602e+01,7.528708319371452129e-01,1.295039202938866564e-05,1.844586288734451681e+07,5.595733631463093057e-04,2.387005608013103028e+02,1.636591811854976128e-07,3.921220845731465121e-01,1.192483832712657333e-03,5.631446290717600364e-06,7.125957595707322900e-01,4.645354711259458425e-03,1.989939189527212272e-07
6.605279059188767961e-03,1.343318966080519949e+01,7.088449372587294350e-01,2.026890663132364879e-05,9.506867619368407875e+06,6.749425150231723198e-04,2.039307767693778942e+03,1.922104394828091005e-07,4.104374890540542498e-01,1.438342298228927453e-03,9.726620980480432484e-06,7.172328496514407403e-01,6.344300321528690591e-03,3.635231765208647480e-07
1.022003406580562594e-02,1.262248057807725310e+01,6.674123432913071641e-01,3.189372594364710170e-05,4.901289594476524740e+06,8.174196483777323649e-04,1.745678472692008654e+04,2.271584990486733572e-07,4.298506704493653685e-01,1.741969470725582975e-03,1.680434968690416894e-05,7.213838685001465745e-01,8.684672848216522245e-03,6.638992528801371609e-07
1.582148264546141825e-02,1.187901639313639457e+01,6.284134659037187154e-01,5.044095253208619802e-05,2.527400666817781981e+06,9.936054071719036679e-04,1.496587347924264905e+05,2.700329915286892068e-07,4.504088294520483537e-01,2.117431711699565081e-03,2.904467805955050202e-05,7.250794582676671762e-01,1.191338886704929913e-02,1.212243031441018018e-06
