r, v_phi_cs, cs, vr_cs, sigma, Mdisk, Ew, Mdot_acc, Qtoomre, Mdisk_Menv, Rcj, dlnJ_dlnx, J, factor3
8.280027332587370321e-04,2.081142655626639737e+01,9.661649520134782954e-01,1.728795833901784622e-06,2.867727345670971870e+08,3.772705182532429171e-04,0.000000000000000000e+00,8.449507687642618263e-08,3.051361472092775085e-01,8.550017448465338250e-04,4.033789447802832939e-07,6.842107750318429105e-01,1.203810545360715391e-03,1.083416802771036214e-08
9.355696582906579059e-04,2.037166659265236390e+01,9.497958854701973319e-01,1.945502299006702809e-06,2.376330863507137299e+08,3.947341079901887234e-04,1.134113614733580147e-02,8.752091720094456093e-08,3.087539750816012951e-01,8.945791805960984612e-04,4.707190975381249307e-07,6.862606379542898205e-01,1.308899239503364927e-03,1.285302997730289752e-08
1.043136583322578888e-03,1.999159342674428430e+01,9.354552200822020547e-01,2.162165217769411859e-06,2.010142365522724688e+08,4.111467316641761690e-04,2.916025035489781814e-02,9.035385021760165386e-08,3.120327048526083669e-01,9.317748298711612783e-04,5.400894664965102089e-07,6.880524416463482673e-01,1.410538138829491982e-03,1.496505547803304572e-08
1.700640739712941081e-03,1.841139328773493489e+01,8.737970901598280937e-01,3.488688005293488608e-06,9.494898386878818274e+07,4.960459582813508354e-04,4.271802036696489280e-01,1.048678627467292632e-07,3.273977009677119243e-01,1.124180500025011645e-03,1.000307669367749681e-06,6.956864088064869112e-01,1.978258638743294034e-03,2.959391471995398968e-08
2.600128653304990128e-03,1.718720975696760433e+01,8.236789269613352671e-01,5.315667283009735581e-06,4.958054453138598800e+07,5.872680044476011980e-04,3.624034364493517124e+00,1.202509913125376905e-07,3.416433666447712403e-01,1.330915468348883987e-03,1.706624762768948931e-06,7.017587308624873010e-01,2.661530287059437044e-03,5.342306589189562929e-08
4.020961588170582530e-03,1.605366892641299259e+01,7.753160429509279306e-01,8.235125538869530391e-06,2.548239608905486763e+07,7.020223008219151836e-04,3.059217066615560299e+01,1.393753502464626736e-07,3.571692850997202351e-01,1.590981174206172700e-03,2.950862167122099873e-06,7.074521157118289771e-01,3.618730495271136726e-03,9.784094840057612719e-08
6.212033883975629292e-03,1.503062202574960615e+01,7.299887553829998987e-01,1.281190276851702889e-05,1.313565278100436740e+07,8.428201353290072076e-04,2.611314730529135204e+02,1.625855974841209843e-07,3.736021313954759893e-01,1.910068906615124129e-03,5.091705219734975013e-06,7.125957180684669989e-01,4.928334570178148112e-03,1.787090949869318329e-07
9.606246713398656698e-03,1.409908993001080901e+01,6.873009481095850859e-01,2.005215278810003660e-05,6.770023231577693485e+06,1.016587164347862362e-03,2.230942982621788360e+03,1.909495477727886801e-07,3.910524940506210356e-01,2.303874162577878703e-03,8.790553151919355319e-06,7.172327834991117923e-01,6.730773915177942768e-03,3.264667299937297138e-07
1.486328401838760659e-02,1.324819313025032663e+01,6.471276423085863261e-01,3.155264669934294689e-05,3.490303959760418162e+06,1.231183591086440704e-03,1.909719350891006616e+04,2.256683031576164402e-07,4.095487741640609913e-01,2.790210386645497736e-03,1.517959990652996626e-05,7.213837626403722947e-01,9.213711756493676158e-03,5.962231661931827758e-07
2.300959983570360565e-02,1.246787601148390756e+01,6.093141601164117072e-01,4.990145687517636520e-05,1.799814585341196973e+06,1.496550566263974216e-03,1.637214704580959515e+05,2.682613585630129507e-07,4.291359078618260381e-01,3.391607039243564169e-03,2.622154377676349092e-05,7.250792855066128251e-01,1.263909722450556709e-02,1.088668480485537773e-06
3.563659912072605906e-02,1.174970797913916876e+01,5.737224464273226188e-01,7.929059944562196003e-05,9.283121698164672125e+05,1.825025425704157557e-03,1.405406043708326761e+06,3.206126319060559750e-07,4.498578832067853250e-01,4.136024014256327319e-03,4.531407000034024126e-05,7.283529846576541900e-01,1.736994364270521771e-02,1.987421313168568811e-06
5.521029180074631809e-02,1.108655481321926217e+01,5.402256376285989870e-01,1.265213366872545910e-04,4.789618078201584867e+05,2.231919257710523671e-03,1.207466855380005017e+07,3.850584692684370627e-07,4.717588983063098484e-01,5.058160570124737264e-03,7.834111841948843591e-05,7.312404877281988291e-01,2.390920220010237310e-02,3.627074295542577968e-06
8.553654561818831159e-02,1.047254831659143370e+01,5.087157555259497199e-01,2.026091587152615528e-04,2.472867568718822731e+05,2.736035121737332831e-03,1.037298671468887329e+08,4.644656691859759189e-07,4.948759247526777205e-01,6.200629759987109739e-03,1.354707972703060375e-04,7.337775845546987696e-01,3.294977941861778475e-02,6.615405572353744359e-06
1.324130669449865849e-01,9.903311257592445571e+00,4.791239011088301303e-01,3.252168000111005765e-04,1.279086702599980345e+05,3.359713260244336780e-03,8.885045755402280092e+08,5.622357126326648368e-07,5.192153827396983612e-01,7.614060894534933725e-03,2.341166420936825917e-04,7.359981308109806442e-01,4.542891380046059496e-02,1.204564326699060710e-05
2.043390786841411400e-01,9.376730656401601749e+00,4.514689129372685961e-01,5.217483435895216813e-04,6.650895883203871199e+04,4.126908633831936034e-03,7.524039806399314880e+09,6.820045956629145979e-07,5.446874384025391924e-01,9.352742692658573553e-03,4.032515791162780768e-04,7.379309865830645521e-01,6.254663740709207054e-02,2.182879926629029322e-05
3.127539407124291793e-01,8.893755463472727385e+00,4.259071492913552581e-01,8.316535604261907121e-04,3.502982908236240473e+04,5.057289995715076765e-03,6.162926648893311310e+10,8.267324435685939606e-07,5.710000118316260753e-01,1.146125011451021997e-02,6.880037914718049440e-04,7.395983230732837699e-01,8.565962089663922696e-02,3.909840645487543039e-05
4.717476665988001305e-01,8.456024929781207788e+00,4.026111989128871027e-01,1.307329097512146881e-03,1.886766454313424038e+04,6.162100969688125152e-03,4.715309089600766602e+11,9.980802826412215881e-07,5.977096829156645086e-01,1.396506439304465164e-02,1.153626055521196191e-03,7.410246219053481243e-01,1.161275087499602787e-01,6.861986352794012740e-05
6.993556282385169354e-01,8.060885049121710111e+00,3.815034202861504742e-01,2.019783002833620746e-03,1.043413810338563417e+04,7.453757175422686017e-03,3.299781300056437500e+12,1.197911115603261291e-06,6.245453579550620526e-01,1.689232283549627067e-02,1.894855904801644175e-03,7.422500486574372669e-01,1.555079088191423931e-01,1.175774400887271955e-04
