r, v_phi_cs, cs, vr_cs, sigma, Mdisk, Ew, Mdot_acc, Qtoomre, Mdisk_Menv, Rcj, dlnJ_dlnx, J, factor3
4.009969446011194720e-04,1.895293559451645393e+01,1.025678558735563017e+00,1.765109148767109024e-06,5.534747745141268969e+08,1.707778057784880904e-04,0.000000000000000000e+00,8.560291016465569421e-08,3.350572545681111403e-01,3.507574149617251271e-04,4.888988327930490910e-07,6.842107855901281566e-01,1.073754311893668342e-03,1.333749142745325936e-08
4.530909853454039168e-04,1.855244686441485058e+01,1.008301194469772177e+00,1.986367528090637288e-06,4.586346727891662121e+08,1.786829920223680546e-04,9.528482157763121588e-03,8.866842320039974614e-08,3.390298402563928781e-01,3.669937325502697673e-04,5.705925285155829078e-07,6.862606499137186011e-01,1.167489526652809324e-03,1.582282794849188701e-08
5.051850260896883615e-04,1.820631481222553560e+01,9.930771763280871189e-01,2.207581446611694243e-06,3.879598598432195783e+08,1.861124409575076733e-04,2.449956697150308671e-02,9.153849969945487902e-08,3.426300764905879093e-01,3.822529419727155125e-04,6.547624748862879439e-07,6.880524550152431473e-01,1.258147652792890531e-03,1.842285421117225748e-08
8.236104973122503102e-04,1.676722897177897309e+01,9.276210437552523391e-01,3.561967839396794134e-06,1.832526661478061080e+08,2.245434993025416219e-04,3.589039538407740038e-01,1.062428108771575742e-07,3.595017373386008575e-01,4.611857905234921224e-04,1.213428840849214171e-06,6.956864309961682258e-01,1.764533282108218717e-03,3.643183101334387315e-08
1.259226926108995706e-03,1.565236772071227556e+01,8.744157514429296008e-01,5.427321188255712362e-06,9.569108540175226331e+07,2.658366582428546262e-04,3.044801833266903568e+00,1.218276226082530915e-07,3.751442969155767138e-01,5.459970551927111840e-04,2.071467124894543187e-06,7.017587610614552940e-01,2.373985760868364738e-03,6.576687403924736633e-08
1.947328019592270204e-03,1.462005376715074867e+01,8.230738153696394166e-01,8.408102246351339008e-06,4.918134794400028139e+07,3.177821229030796551e-04,2.570259039976855320e+01,1.412027325046515671e-07,3.921926618731224057e-01,6.526868959489465216e-04,3.584182274502246274e-06,7.074521662771789954e-01,3.227772832136603393e-03,1.204478539427855126e-07
3.008451462120925821e-03,1.368836669121193061e+01,7.749544684245227577e-01,1.308101379256924494e-05,2.535197748235139251e+07,3.815166381350175223e-04,2.193945569627987879e+02,1.647173060117594942e-07,4.102368853820958505e-01,7.835900522735442415e-04,6.189351458348008859e-06,7.125957989848147323e-01,4.395891051201185513e-03,2.200012025453769372e-07
4.652249288970198259e-03,1.284002197492933739e+01,7.296371793332078193e-01,2.047334635625062789e-05,1.306623001904593967e+07,4.601752553945204238e-04,1.874369578838535745e+03,1.934531731469408115e-07,4.293984067738464971e-01,9.451455490703203430e-04,1.069513500225207702e-05,7.172329123348389901e-01,6.003600630649779356e-03,4.018994065129968570e-07
7.198205507373519989e-03,1.206511127119033056e+01,6.869892450455097332e-01,3.221542546426913790e-05,6.736326141789512709e+06,5.573161384079528251e-04,1.604489861455687242e+04,2.286272262441065299e-07,4.497084278452835315e-01,1.144661433804698919e-03,1.848730657747767284e-05,7.213839683205602871e-01,8.218292699079025876e-03,7.339856023429890027e-07
1.114344492250001623e-02,1.135447525732485019e+01,6.468463561895567704e-01,5.094978089336010303e-05,3.473651798073560465e+06,6.774398150574198344e-04,1.375548843235704990e+05,2.717790652826050904e-07,4.712163586176842944e-01,1.391381258463393394e-03,3.197275252993778317e-05,7.250796196351773082e-01,1.127362978143542881e-02,1.340218357008829142e-06
