r, v_phi_cs, cs, vr_cs, sigma, Mdisk, Ew, Mdot_acc, Qtoomre, Mdisk_Menv, Rcj, dlnJ_dlnx, J, factor3
8.596470363716954277e-04,2.091262858324458662e+01,9.631848189902856294e-01,1.726933186391024537e-06,2.771913695561392903e+08,3.930714628781261191e-04,0.000000000000000000e+00,8.444070094052118319e-08,3.036595083943743334e-01,8.979050582686557997e-04,3.993877323136317463e-07,6.842107744961860583e-01,1.210969176343652896e-03,1.071800234633255944e-08
9.713249144947084471e-04,2.047073014892231413e+01,9.468662427728865572e-01,1.943406166564475486e-06,2.296935262934102714e+08,4.112664672909903288e-04,1.144341858926867760e-02,8.746459400350872047e-08,3.072598285872187862e-01,9.394684584145391280e-04,4.660586952846436848e-07,6.862606373475110821e-01,1.316682795309130410e-03,1.271521773713196725e-08
1.083002792617721250e-03,2.008880875796095822e+01,9.325698111140865443e-01,2.159835647302228855e-06,1.942981490130206347e+08,4.283664887942331819e-04,2.942323826129719655e-02,9.029570390111340490e-08,3.105226916687757188e-01,9.785305559065291675e-04,5.347391999274589791e-07,6.880524409680344178e-01,1.418926104745925950e-03,1.480459776507769191e-08
1.765635200010513784e-03,1.850092439901064623e+01,8.711018654855748888e-01,3.484929204949248155e-06,9.177664291436292231e+07,5.168214869825339328e-04,4.310328205564072368e-01,1.048003759726476910e-07,3.258133322612334903e-01,1.180590989703642416e-03,9.903707712405336776e-07,6.956864076805591157e-01,1.990022634286768219e-03,2.927660405471794545e-08
2.699499450665531104e-03,1.727078784678747425e+01,8.211382898584221879e-01,5.309940126158333169e-06,4.792400758926469833e+07,6.118641220563297194e-04,3.656718667523249700e+00,1.201736052858324040e-07,3.399900596712234768e-01,1.397699762136717962e-03,1.689625047568114529e-06,7.017587293241640545e-01,2.677357480513932464e-03,5.285025640837064670e-08
4.174633263763881906e-03,1.613173482119287883e+01,7.729245813367847662e-01,8.226252899845405632e-06,2.463100312174624950e+07,7.314245867682555614e-04,3.086807458338603283e+01,1.392856565564841724e-07,3.554408437563950085e-01,1.670815356048644968e-03,2.921375648525373734e-06,7.074521131388057382e-01,3.640249814078555350e-03,9.679188399531192428e-08
6.449443170136876825e-03,1.510371302579055808e+01,7.277371057146179156e-01,1.279809902105250002e-05,1.269677715449494682e+07,8.781193508510510247e-04,2.634865575914317901e+02,1.624809664388125850e-07,3.717941668262215726e-01,2.005914652565902057e-03,5.040645333340043580e-06,7.125957139470691093e-01,4.957641632363481501e-03,1.767929510182529722e-07
9.973374724994149912e-03,1.416765106037402866e+01,6.851809695014086099e-01,2.003054808375604292e-05,6.543829873031637631e+06,1.059164127727989235e-03,2.251063288983104485e+03,1.908266616309591370e-07,3.891600818645639670e-01,2.419480724599286717e-03,8.702046081071291848e-06,7.172327769200683711e-01,6.770799389730299336e-03,3.229663053258863738e-07
1.543132299821999183e-02,1.331261654163477992e+01,6.451315810223967606e-01,3.151864982719395242e-05,3.373689518937288783e+06,1.282748307137928810e-03,1.926942409215812222e+04,2.255230685486537156e-07,4.075668515708969486e-01,2.930220843383430675e-03,1.502606744206569023e-05,7.213837520787949043e-01,9.268502089275784325e-03,5.898303471735605677e-07
2.388896796241291379e-02,1.252850507830456195e+01,6.074347458490589879e-01,4.984768202880609085e-05,1.739681398520517163e+06,1.559229323665861557e-03,1.651979384581902414e+05,2.680886927287922635e-07,4.270591906323272791e-01,3.561794810717363105e-03,2.595495045083781398e-05,7.250792681650652938e-01,1.271425557398914163e-02,1.076995363452517647e-06
3.699851821908293342e-02,1.180684551226096879e+01,5.719528570646303933e-01,7.920510664783404883e-05,8.972972923912525875e+05,1.901460895211348409e-03,1.418077681412125239e+06,3.204061887054693210e-07,4.476808585372751836e-01,4.343564764048219069e-03,4.485061601752073855e-05,7.283529548005469589e-01,1.747322667323892437e-02,1.966109943352177955e-06
5.732013632723192975e-02,1.114047040765601082e+01,5.385595190836687252e-01,1.263846339850291899e-04,4.629611597195614595e+05,2.325393877245929362e-03,1.218345524459638074e+07,3.848101726144752916e-07,4.694757790309802559e-01,5.311967726065811544e-03,7.753428081710304410e-05,7.312404320661776147e-01,2.405133103481797360e-02,3.588170508006866014e-06
8.880462981684229817e-02,1.052348785170026702e+01,5.071473392093434063e-01,2.023885928911918583e-04,2.390283699644815351e+05,2.850612316174934088e-03,1.046618198041667640e+08,4.641646168079018888e-07,4.924805206847299721e-01,6.511740127646999977e-03,1.340635614836428312e-04,7.337774693488159361e-01,3.314546597641464948e-02,6.544381744454001429e-06
1.374686401123619839e-01,9.951513717521685010e+00,4.776483905179690903e-01,3.248537030775730506e-04,1.236417921758029115e+05,3.500365576006879854e-03,8.964090775825003386e+08,5.618648442837496040e-07,5.167007076590179881e-01,7.995991195780489946e-03,2.316557762357237464e-04,7.359978689593921208e-01,4.569784986898824813e-02,1.191590275450352144e-05
2.121246657265529190e-01,9.422458592133676092e+00,4.500832540599512543e-01,5.211223589119704045e-04,6.429766299870875082e+04,4.299522182116551072e-03,7.588843130046772003e+09,6.815311519987763406e-07,5.420448288386590097e-01,9.821528856847406772e-03,3.989319497799836034e-04,7.379303795417261336e-01,6.291336703584128609e-02,2.159143910539225878e-05
3.246148128205849082e-01,8.937314159086062304e+00,4.246098633353820873e-01,8.304993976320011696e-04,3.387385675511864247e+04,5.268383452440811993e-03,6.211481966703496552e+10,8.260934357432874261e-07,5.682189509457707954e-01,1.203472802682755034e-02,6.804037065624987191e-04,7.395970701153473659e-01,8.615095609079216621e-02,3.866422902726958290e-05
4.895157183348878283e-01,8.497695104229388008e+00,4.013985919269792979e-01,1.305152791015006062e-03,1.825189986589304681e+04,6.418528271712831655e-03,4.746612130509658203e+11,9.971918284107914561e-07,5.947819106297115299e-01,1.466203870312061779e-02,1.140362376706758902e-03,7.410225570133397444e-01,1.167718864330195006e-01,6.783466589371995367e-05
7.255125749683474234e-01,8.100850013696627272e+00,3.803675359594868577e-01,2.015850827175070647e-03,1.009744882987202436e+04,7.762968995189612441e-03,3.317282444940013672e+12,1.196699833205080274e-06,6.214684612994700874e-01,1.773318540329830301e-02,1.872171132130886909e-03,7.422472502402008843e-01,1.563412731092391483e-01,1.161918603550458727e-04
1.058573600811305804e+00,7.740391101592090983e+00,3.612206239693136478e-01,3.064508092788085884e-03,5.720996858435298236e+03,9.326244232760671007e-03,2.134159981878668359e+13,1.428212633392933844e-06,6.482867505577981637e-01,2.130422241779763443e-02,3.017344630987211628e-03,7.433203442527342997e-01,2.069908595581948507e-01,1.947532672558205120e-04
