r, v_phi_cs, cs, vr_cs, sigma, Mdisk, Ew, Mdot_acc, Qtoomre, Mdisk_Menv, Rcj, dlnJ_dlnx, J, factor3
9.694221143293515986e-04,2.124038553704497545e+01,9.536988792551187588e-01,1.720975538289910482e-06,2.485980861739481390e+08,4.483065624623507701e-04,0.000000000000000000e+00,8.426815083878774203e-08,2.989737872607814984e-01,1.053393135424430908e-03,3.868637140968440138e-07,6.842107727867728917e-01,1.234206126959306411e-03,1.035393579235270100e-08
1.095361017400248551e-03,2.079156136548341394e+01,9.375410167329283340e-01,1.936701720663316494e-06,2.059998156050199270e+08,4.690583609892343890e-04,1.177721327513369526e-02,8.728586469440313030e-08,3.025185514823273136e-01,1.102153969965562110e-03,4.514352219388603711e-07,6.862606354111067120e-01,1.341948254903346620e-03,1.228331025120077707e-08
1.221299920471145177e-03,2.040365423853112148e+01,9.233853836518337577e-01,2.152384553630998153e-06,1.742555983034479022e+08,4.885613076455090978e-04,3.028148884616258668e-02,9.011118932354713327e-08,3.057310658386660496e-01,1.147980357193596583e-03,5.179514777020681421e-07,6.880524388033253391e-01,1.446153482464007916e-03,1.430171872225175168e-08
1.991103017018260642e-03,1.879088345577002528e+01,8.625228058830610722e-01,3.472906742561874569e-06,8.230955303120024502e+07,5.894461572888082604e-04,4.436056830892373126e-01,1.045862215015384935e-07,3.207857589278331756e-01,1.385031109917079020e-03,9.591951959271380177e-07,6.956864040875390121e-01,2.028208620398106246e-03,2.828214339110978119e-08
3.044219866223314350e-03,1.754146720884498123e+01,8.130512917340462220e-01,5.291621903912698985e-06,4.298047110326833278e+07,6.978443622383390240e-04,3.763382597725893230e+00,1.199280377004297177e-07,3.347437290225263040e-01,1.639736114365359342e-03,1.636297320420509004e-06,7.017587244109624312e-01,2.728732626680769550e-03,5.105505505229497100e-08
4.707725126758617769e-03,1.638456216698792645e+01,7.653124176206187457e-01,8.197873901198596174e-06,2.209022536395769939e+07,8.342056691872947426e-04,3.176847609912773152e+01,1.390010332898545975e-07,3.499560941389789348e-01,1.960146469031084221e-03,2.828890052127507732e-06,7.074521049223857494e-01,3.710101625927221883e-03,9.350408605532145125e-08
7.273023423994359575e-03,1.534042847858533243e+01,7.205699717523643688e-01,1.275394794057923568e-05,1.138705830240279436e+07,1.001514230867060068e-03,2.711722821508770380e+02,1.621489427048873519e-07,3.660570713499435858e-01,2.353274085551310211e-03,4.880519508083180481e-06,7.125957007828174206e-01,5.052772493895569053e-03,1.707877006975255216e-07
1.124695325659062078e-02,1.438969589924351489e+01,6.784329524882023454e-01,1.996144571865585596e-05,5.868810151302697137e+06,1.207999706134820720e-03,2.316725088012543893e+03,1.904367091690324422e-07,3.831550142348290611e-01,2.838456325617619291e-03,8.424534873229984011e-06,7.172327558924416202e-01,6.900722256013202584e-03,3.119958730154418863e-07
1.740186767481695720e-02,1.352126081187852336e+01,6.387780007328015541e-01,3.140991105159721087e-05,3.025681742263724562e+06,1.463002208734559073e-03,1.983149097213303685e+04,2.250621973589634646e-07,4.012777461856664729e-01,3.437639804617380248e-03,1.454477140911581990e-05,7.213837182772475654e-01,9.446351691279174928e-03,5.697950634134076827e-07
2.693952140148409696e-02,1.272486088036137986e+01,6.014524617138558016e-01,4.967568228537291500e-05,1.560228333642679965e+06,1.778334334961248096e-03,1.700163075620702002e+05,2.675407712569427492e-07,4.204692787328115910e-01,4.178580769928099889e-03,2.511942951639100516e-05,7.250792125238838537e-01,1.295821953617890855e-02,1.040411448597103854e-06
4.172304561875149476e-02,1.199189365505051796e+01,5.663201579315890744e-01,7.893164951533856088e-05,8.047407819965794915e+05,2.168654755463966886e-03,1.459430263484505471e+06,3.197510678134373380e-07,4.407726442895152363e-01,5.095722935581922276e-03,4.339852114487674441e-05,7.283528585847229841e-01,1.780848190887199256e-02,1.899319319597120172e-06
6.463918107092417320e-02,1.131508438314159370e+01,5.332561926216712322e-01,1.259473378145605643e-04,4.152109219556405442e+05,2.652150061067261744e-03,1.253845138210831210e+07,3.840221768099550585e-07,4.622308896553378732e-01,6.231799626351356737e-03,7.500709507185317660e-05,7.312402515443554574e-01,2.451267222646836066e-02,3.466243871481894786e-06
1.001413181388118162e-01,1.068846514237179868e+01,5.021550645311048111e-01,2.016828154457489682e-04,2.143828819144322770e+05,3.251131431132704610e-03,1.077024534619922042e+08,4.632089496297177797e-07,4.848792828102737040e-01,7.639235778988642984e-03,1.296573761352199305e-04,7.337770929695547339e-01,3.378061903543855271e-02,6.321784953989428636e-06
1.550045045039299685e-01,1.010763162128034587e+01,4.729520127574239896e-01,3.236907924152315893e-04,1.109076860736712988e+05,3.992014631532169767e-03,9.221830547992484570e+08,5.606866018329039928e-07,5.087208586718547920e-01,9.380100943142071976e-03,2.239535697818800049e-04,7.359970086215772422e-01,4.657060827144989673e-02,1.150926022760745381e-05
