r, v_phi_cs, cs, vr_cs, sigma, Mdisk, Ew, Mdot_acc, Qtoomre, Mdisk_Menv, Rcj, dlnJ_dlnx, J, factor3
3.837697103571006203e-04,1.884618013801894065e+01,1.029402130213077804e+00,1.767326177108866802e-06,5.759827471574882269e+08,1.627804833831225477e-04,0.000000000000000000e+00,8.567393862269607612e-08,3.369552091099151658e-01,3.331200845960626401e-04,4.946257579549058126e-07,6.842107862418493891e-01,1.066366830420009248e-03,1.350596423135779545e-08
4.336257384192170852e-04,1.844794722647731788e+01,1.011961680061979285e+00,1.988862463384447950e-06,4.772858149806669950e+08,1.703154791442717424e-04,9.428132156280372850e-03,8.874199526407077645e-08,3.409502977826111003e-01,3.485399824438733022e-04,5.772816746738004979e-07,6.862606506518820204e-01,1.159457142454809256e-03,1.602269433023157611e-08
4.834817664813333875e-04,1.810376482005285226e+01,9.966823934323677525e-01,2.210354233027688600e-06,4.037368932286661863e+08,1.773970158141367119e-04,2.424154774286005690e-02,9.161445320785116943e-08,3.445709278027085931e-01,3.630319046049800490e-04,6.624439219437514875e-07,6.880524558403733337e-01,1.249491536405691276e-03,1.865556287586391501e-08
7.882273576478154029e-04,1.667278486838821294e+01,9.309886322736383724e-01,3.566441776043207775e-06,1.907049409047003388e+08,2.140283934694943771e-04,3.551241251219985351e-01,1.063309653329301974e-07,3.615381593530056503e-01,4.379957293203959020e-04,1.227714753061280673e-06,6.956864323657453442e-01,1.752393209470902522e-03,3.689202042424751947e-08
1.205129241297437205e-03,1.556420330860229484e+01,8.775901885812020797e-01,5.434137962058906535e-06,9.958252572393094003e+07,2.533878411578440533e-04,3.012735057846435360e+00,1.219287079216861716e-07,3.772693265843212740e-01,5.185423788394178269e-04,2.095939969713923155e-06,7.017587629181936126e-01,2.357652596492382843e-03,6.659760780196719686e-08
1.863668809642645427e-03,1.453770403053222360e+01,8.260618629718997630e-01,8.418662943168852956e-06,5.118139073742467165e+07,3.029007620407576885e-04,2.543189933790563728e+01,1.413198946305326066e-07,3.944142633137120990e-01,6.198674766049430858e-04,3.626698120364063548e-06,7.074521693897072305e-01,3.205565572294935463e-03,1.219692904154756610e-07
2.879205299580172434e-03,1.361126484779586576e+01,7.777678261058447173e-01,1.309744373869612747e-05,2.638295866588994861e+07,3.636506665513849178e-04,2.170839673319809719e+02,1.648539798639672584e-07,4.125606996081488953e-01,7.441883589932373833e-04,6.263105756600464550e-06,7.125958039618002227e-01,4.365647078744861603e-03,2.227801459552910473e-07
4.452383902487978308e-03,1.276769858660177093e+01,7.322860192108132660e-01,2.049906129049570055e-05,1.359759041776547767e+07,4.386257972569269762e-04,1.854629364472300949e+03,1.936136920743601194e-07,4.318307630494999660e-01,8.976202776369964160e-04,1.082324454178013734e-05,7.172329202419494010e-01,5.962295561327347719e-03,4.069759960718662353e-07
6.888963385599558044e-03,1.199715269403741758e+01,6.894832563482676813e-01,3.225588947459687058e-05,7.010270092337811366e+06,5.312176982889290191e-04,1.587592025046792332e+04,2.288169353379397879e-07,4.522558328841473352e-01,1.087103815611848963e-03,1.871006579303774773e-05,7.213839808833180101e-01,8.161750600172773193e-03,7.432569531530623057e-07
1.066471239887352256e-02,1.129051936114592003e+01,6.491946267702078943e-01,5.101378151172673283e-05,3.614913159084170591e+06,6.457161657748445444e-04,1.361062528840569721e+05,2.720045958598338843e-07,4.738856022008473001e-01,1.321417772557515217e-03,3.236061513905142653e-05,7.250796398519893105e-01,1.119606773905156352e-02,1.357147513566075273e-06
