r, v_phi_cs, cs, vr_cs, sigma, Mdisk, Ew, Mdot_acc, Qtoomre, Mdisk_Menv, Rcj, dlnJ_dlnx, J, factor3
1.016039304978931046e-03,4.945374333742644524e+01,1.144744594901285106e+00,1.426300286897586400e-06,1.852543453618947983e+09,3.669787282950877014e-03,0.000000000000000000e+00,6.547345732294161265e-07,1.284092511542801185e-01,3.951091632402417217e-03,7.002264700867420738e-08,6.842106956085327596e-01,3.467274303435473586e-03,1.582953616559597835e-09
1.148034307357737819e-03,4.840875082373760563e+01,1.125349974938684383e+00,1.605088594143060493e-06,1.535102742411532164e+09,3.839659101507865522e-03,1.531699339297916884e-03,6.781811573750020959e-07,1.299317272922253796e-01,4.133984827329454347e-03,8.167153798585534057e-08,6.862605479218498727e-01,3.769955884026079951e-03,1.877924593450044644e-09
1.280029309736544158e-03,4.750559077028862021e+01,1.108358672611880813e+00,1.783840973159335632e-06,1.298546028933418036e+09,3.999307952130288363e-03,3.938294718626732943e-03,7.001329422842037353e-07,1.313115021023794904e-01,4.305871421614478750e-03,9.366469295436646727e-08,6.880523409587088191e-01,4.062701190012092158e-03,2.186507477405598543e-09
2.086850264690192410e-03,4.375059347006310162e+01,1.035304053881761721e+00,2.878255569105633598e-06,6.133676206235750914e+08,4.825139272019908325e-03,5.769356268047016317e-02,8.125988322193179616e-07,1.377774912473120061e-01,5.195006122405090680e-03,1.730928438707665323e-07,6.956862413187041572e-01,5.697877026810168298e-03,4.323894211756649950e-09
3.190612276547484354e-03,4.084158245682785804e+01,9.759222108033484000e-01,4.385564264544697196e-06,3.202882520570260882e+08,5.712476105557022510e-03,4.894527012305900926e-01,9.317995869818792156e-07,1.437724533195178511e-01,6.150360988448393129e-03,2.946724645809154402e-07,7.017584875698813507e-01,7.665874678122193420e-03,7.805526172051324094e-09
4.934104225200090267e-03,3.814798116676977457e+01,9.186204701949464146e-01,6.794180567588825561e-06,1.646156394033928812e+08,6.828707555929515796e-03,4.131687148454936676e+00,1.079989185793860540e-06,1.503061344025784229e-01,7.352156188917021232e-03,5.082335921597732298e-07,7.074517029658324851e-01,1.042283631652108841e-02,1.429529154823976239e-08
7.622714588339623600e-03,3.571696169959177070e+01,8.649158510594300298e-01,1.057006941792123912e-05,8.485671319769129157e+07,8.198251295359910290e-03,3.526695056675463746e+01,1.259836979310921003e-06,1.572214032775673120e-01,8.826681111440979124e-03,8.744979676855110560e-07,7.125950151341824412e-01,1.419475639194529501e-02,2.611052726439439224e-08
1.178746523333359941e-02,3.350347215588716665e+01,8.143401892117192453e-01,1.654305244608953194e-05,4.373592741976448148e+07,9.888413886575341330e-03,3.012779513880491891e+02,1.479609363328937798e-06,1.645645922140469009e-01,1.064640164471970969e-02,1.504985587278046305e-06,7.172315262723851781e-01,1.938590281655167002e-02,4.769748936870249727e-08
1.823679552460132428e-02,3.148181554022857398e+01,7.667492805038951253e-01,2.602889953703309977e-05,2.255074708952388540e+07,1.197538987007949578e-02,2.578342910809489240e+03,1.748579724130897305e-06,1.723468807770160149e-01,1.289335295542826804e-02,2.589379150367398109e-06,7.213813131058074424e-01,2.653576398848744508e-02,8.710045712461725654e-08
2.822444882676639066e-02,2.962860500304272904e+01,7.219727091789970297e-01,4.115370401980096349e-05,1.163328535985073820e+07,1.455473421394659628e-02,2.208468688929001291e+04,2.078377121002803883e-06,1.805843001370616707e-01,1.567041469453349378e-02,4.453610489516676811e-06,7.250739522752440713e-01,3.639379758828301115e-02,1.589814272695174927e-07
4.367198528848922900e-02,2.792541779732966134e+01,6.798882752294430620e-01,6.532509240016946784e-05,6.008787636514468119e+06,1.774157762055986881e-02,1.889844592309720756e+05,2.482985398785345189e-06,1.892849212167320994e-01,1.910154280818308903e-02,7.652792340193351764e-06,7.283400759958300608e-01,4.998159213893518110e-02,2.898535927649152983e-07
6.744801106467626650e-02,2.635997478720723208e+01,6.404674563974531720e-01,1.038872055391497904e-04,3.114881466065098066e+06,2.166546932042267420e-02,1.606357228087328142e+06,2.978081608126787815e-06,1.984324320394978136e-01,2.332621701036592665e-02,1.311235125530649370e-05,7.312073699611042477e-01,6.864060856628292906e-02,5.267245175265029429e-07
1.035465583339909429e-01,2.492905150738802078e+01,6.038658506871079634e-01,1.647261647548105919e-04,1.630493083377732197e+06,2.644496262126207198e-02,1.334157974710436538e+07,3.577869349133722537e-06,2.079475572386731141e-01,2.847207820940663922e-02,2.229067627148148390e-05,7.336951834506080239e-01,9.396190516082719713e-02,9.487450020774351138e-07
1.569772488517505171e-01,2.363582678799345516e+01,5.703694864477902859e-01,2.584495277139924638e-04,8.703479403790367069e+05,3.215183144050021841e-02,1.047770084540660381e+08,4.290702830039408792e-06,2.176725011167375823e-01,3.461640208988479156e-02,3.729462114060692489e-05,7.358203536788539001e-01,1.275656410516164130e-01,1.678770655282550799e-06
2.339640799468565291e-01,2.247511087845999711e+01,5.400120990951278177e-01,3.990916646960557018e-04,4.768833727006352274e+05,3.883959486639767394e-02,7.552459180915540457e+08,5.122763482999807819e-06,2.274718447382065578e-01,4.181681019918066095e-02,6.108200945647962162e-05,7.376197551991615642e-01,1.711687344043339998e-01,2.900810117876286918e-06
3.430042669685621770e-01,2.142875586308666769e+01,5.124447038833307433e-01,6.065570736036340112e-04,2.679729057666398003e+05,4.661248891301102149e-02,4.988955842133678436e+09,6.086615672509177320e-06,2.373180900101519997e-01,5.018552867226597214e-02,9.800305544861017076e-05,7.391502191533356747e-01,2.270457666873649250e-01,4.898736898480427785e-06
4.961231992465830465e-01,2.047562829777188753e+01,4.871979730793647434e-01,9.099420186862768739e-04,1.537212781319312344e+05,5.564034235820871505e-02,3.069233573810148239e+10,7.202935172456254509e-06,2.472530736165720056e-01,5.990540436413271941e-02,1.546181059250240173e-04,7.404678936857509441e-01,2.983335977377151726e-01,8.118942721258176235e-06
7.104459593458217759e-01,1.959723542893363657e+01,4.638416572403721849e-01,1.352139259646543013e-03,8.954493643059146416e+04,6.615687860005635412e-02,1.792358818716509399e+11,8.500217616820246276e-06,2.573456070687435981e-01,7.122807653645796266e-02,2.409143563203720298e-04,7.416196298741187798e-01,3.892830805294760221e-01,1.326956568852733648e-05
1.010305126488841410e+00,1.877921983280206675e+01,4.420349289754758049e-01,1.996442165982313579e-03,5.272253142993189249e+04,7.845771631670336865e-02,1.009863766224312744e+12,1.001449199639075893e-05,2.676675830432388437e-01,8.447182425981467069e-02,3.721360953597613363e-04,7.426426512801803659e-01,5.055412648677284349e-01,2.147772736127421235e-05
1.430117276141951166e+00,1.801111879057536669e+01,4.215274621216727469e-01,2.936079060715739153e-03,3.126499743103672517e+04,9.290083555089254097e-02,5.556960705331635742e+12,1.178936627770382393e-05,2.782828050637984330e-01,1.000220682254835403e-01,5.715378133085474623e-04,7.435670290001663574e-01,6.544977192392051890e-01,3.453786343252328555e-05
2.018389377414336217e+00,1.728552917441169257e+01,4.021417254099645677e-01,4.308136602139868952e-03,1.862705909764340322e+04,1.099115729191616347e-01,3.011785773410621484e+13,1.387665009532908456e-05,2.892439479165412886e-01,1.183367488580674420e-01,8.745502363141434725e-04,7.444187409245091036e-01,8.457396435307487081e-01,5.530480125755762898e-05
2.843350175731359730e+00,1.659723577203303790e+01,3.837522861326476131e-01,6.314018608351820543e-03,1.113100861467436880e+04,1.299926105710268176e-01,1.616784014264554375e+14,1.633760876677498931e-05,3.005936220374408885e-01,1.399570809696451534e-01,1.335107426742367879e-03,7.452225432192143284e-01,1.091659021593615719e+00,8.831702848020381975e-05
4.000884171016456214e+00,1.594251381838922654e+01,3.662685553311336162e-01,9.249583523779940017e-03,6.664533819591038082e+03,1.537388725445309745e-01,8.627323198511367500e+14,1.924484241559376859e-05,3.123668882711143624e-01,1.655235919824863122e-01,2.035268605270594729e-03,7.460045914100096320e-01,1.408258353354058912e+00,1.407854751113749806e-04
5.625706043564674630e+00,1.531864173668160412e+01,3.496224541219978277e-01,1.354957718165976724e-02,3.995455264147100024e+03,1.818574203205699513e-01,4.586407678567803000e+15,2.268481066314002840e-05,3.245938054025515052e-01,1.957975425597744124e-01,3.099848749315182051e-03,7.467950647388397201e-01,1.816211962375012368e+00,2.241615061828755194e-04
7.907092175209948337e+00,1.472358839740883063e+01,3.337603497247321194e-01,1.985315639024400058e-02,2.397485260707780981e+03,2.151931583559694161e-01,2.432474743484282800e+16,2.676109278204639937e-05,3.373013350353729067e-01,2.316886025739438582e-01,4.718647417027912495e-03,7.476312853002633485e-01,2.342260160327504170e+00,3.566208964757535869e-04
1.111102843764320092e+01,1.415582374422719525e+01,3.186381821614539533e-01,2.910024188883608698e-02,1.439626257370035319e+03,2.547622184548470892e-01,1.288181183431210880e+17,3.159840955930220122e-05,3.505134997148247056e-01,2.742907945279663418e-01,7.180153352722373761e-03,7.485626149521374950e-01,3.021044632386414630e+00,5.669908469822001595e-04
1.561141648332716692e+01,1.361419847682212669e+01,3.042192982796846912e-01,4.267005929528670805e-02,8.650239831448114955e+02,3.017969346571908740e-01,6.815249030016791040e+17,3.734627201625343259e-05,3.642436844239854143e-01,3.249309159548601222e-01,1.092227454566802210e-02,7.496627581526592587e-01,3.897544371638855143e+00,9.009207777945479933e-04
2.193417851590079337e+01,1.309778888362804139e+01,2.904773054549149580e-01,6.255204637761263564e-02,5.202451811014451550e+02,3.578133982579093098e-01,3.602957877108846080e+18,4.417229461845292832e-05,3.784424953024751459e-01,3.852412728079158133e-01,1.660592076319565916e-02,7.510797072739964220e-01,5.030388035791371060e+00,1.430316447232852584e-03
