r, v_phi_cs, cs, vr_cs, sigma, Mdisk, Ew, Mdot_acc, Qtoomre, Mdisk_Menv, Rcj, dlnJ_dlnx, J, factor3
8.121303612749911430e-04,4.803356657515309536e+01,1.166019853323127187e+00,1.435565604012272897e-06,2.268502077318779945e+09,2.871059183509122852e-03,0.000000000000000000e+00,6.569929481714238601e-07,1.322058429502472876e-01,2.594286502466021382e-03,7.424308527943884518e-08,6.842106978151447638e-01,3.345968058924213111e-03,1.688841666448910452e-09
9.176352848309829967e-04,4.701858340848992412e+01,1.146264781308710345e+00,1.615515329482830008e-06,1.879785196754353046e+09,3.003958453804922175e-03,1.452309761559333976e-03,6.805204070701404714e-07,1.337733331468525522e-01,2.714374163875554920e-03,8.659460814937421686e-08,6.862605504268851631e-01,3.638060007191757858e-03,2.003544049781072940e-09
1.023140208386974417e-03,4.614135966039174974e+01,1.128957692974544846e+00,1.795428893371652102e-06,1.590113505456767559e+09,3.128859782182304063e-03,3.734168787764116475e-03,7.025479107490624596e-07,1.351939028589516922e-01,2.827234892142909978e-03,9.931124874130795708e-08,6.880523437625706284e-01,3.920563312017187434e-03,2.332768877225244943e-09
1.668040261359698181e-03,4.249419568218880272e+01,1.054545342292730226e+00,2.896952876061650566e-06,7.510893814427332878e+08,3.774949184514706131e-03,5.470325895988823600e-02,8.154017337254937735e-07,1.418510677467216541e-01,3.411040696455394823e-03,1.835326368951281756e-07,6.956862460193877773e-01,5.498530827974314715e-03,4.613131208000163468e-09
2.550288379405805765e-03,3.966872333010493179e+01,9.940598723967223327e-01,4.414053338404850986e-06,3.922037636502788067e+08,4.469157532577604924e-03,4.640839479954507185e-01,9.350136678402602509e-07,1.480232796572861498e-01,4.038326736960344381e-03,3.124532974793310388e-07,7.017584954243017981e-01,7.397676275608489754e-03,8.327659458622876463e-09
3.943879706377984712e-03,3.705247401495067550e+01,9.356931467719460382e-01,6.838317559500909117e-06,2.015773449848658741e+08,5.342442027637445481e-03,3.917540303410820268e+00,1.083714501676101357e-06,1.547501408695209912e-01,4.827425823234684187e-03,5.389171081386400786e-07,7.074517171040575203e-01,1.005818418066609793e-02,1.525154706716189524e-08
6.092917551329191279e-03,3.469126350963109928e+01,8.809903369176018684e-01,1.063874329599684716e-05,1.039097691383454800e+08,6.413907097645496665e-03,3.343912797014392879e+01,1.264183002866640561e-06,1.618698809785084902e-01,5.795600699235761016e-03,9.273254044287965960e-07,7.125950430292948834e-01,1.369814717763943000e-02,2.785716627409110938e-08
9.421870455924463705e-03,3.254132853515493906e+01,8.294744464634989933e-01,1.665057517726159123e-05,5.355584922525741160e+07,7.736215316195051324e-03,2.856655459435768307e+02,1.484714949505766831e-06,1.694302258272304129e-01,6.990437219216574967e-03,1.595963813677189467e-06,7.172315874045305240e-01,1.870771234948918893e-02,5.088833862705497104e-08
1.457702885006526006e-02,3.057769270500601877e+01,7.809981409836878052e-01,2.619831540015032497e-05,2.761364818023905903e+07,9.369000789709064358e-03,2.444801536647501052e+03,1.754619525338088855e-06,1.774427760765433237e-01,8.465820708240543238e-03,2.746052844293316812e-06,7.213814636945120595e-01,2.560760660260937363e-02,9.292838385449454953e-08
2.256104625134688901e-02,2.877758554902064958e+01,7.353863749820601647e-01,4.142290403574028793e-05,1.424443265695969760e+07,1.138712111064939941e-02,2.094295988797221798e+04,2.085582167976271319e-06,1.859243686224150982e-01,1.028939241969818383e-02,4.723477157838600528e-06,7.250743571698986534e-01,3.512161134402196072e-02,1.696260676598004613e-07
