r, v_phi_cs, cs, vr_cs, sigma, Mdisk, Ew, Mdot_acc, Qtoomre, Mdisk_Menv, Rcj, dlnJ_dlnx, J, factor3
7.482867576366039782e-04,4.752405652972392147e+01,1.173890571528630300e+00,1.438971620516224098e-06,2.442741692722558022e+09,2.624612147012068443e-03,0.000000000000000000e+00,6.577975305794658412e-07,1.336232347670938958e-01,2.259457592274891763e-03,7.585079422111931662e-08,6.842106986299072435e-01,3.302640292007628497e-03,1.729341573902879367e-09
8.454976747320631491e-04,4.651983967342900428e+01,1.154002151357315986e+00,1.619348294088779175e-06,2.024168159083128214e+09,2.746103561425057658e-03,1.424380494658320862e-03,6.813538024157999745e-07,1.352075301831688614e-01,2.364046264168431343e-03,8.846998937930248923e-08,6.862605513517099354e-01,3.590949870073995021e-03,2.051590796872843893e-09
9.427085918275224284e-04,4.565192096994172744e+01,1.136578238935554985e+00,1.799688720297233238e-06,1.712247299794792175e+09,2.860283564246518789e-03,3.662357250630850908e-03,7.034082821308473056e-07,1.366433299656365230e-01,2.462340739622496423e-03,1.014622493054895682e-07,6.880523447976365503e-01,3.869794970458181448e-03,2.388710724834754066e-09
1.536911437413626983e-03,4.204344383917639760e+01,1.061663599393749102e+00,2.903826179222272708e-06,8.087792219129319191e+08,3.450913713259146521e-03,5.365126901710828844e-02,8.164003125321002725e-07,1.433718670065773360e-01,2.970798256262533518e-03,1.875097235241507547e-07,6.956862477531338129e-01,5.427329005226358243e-03,4.723758153469617828e-09
2.349803853471877074e-03,3.924794227323138074e+01,1.000769846412860264e+00,4.424526173839657536e-06,4.223282293054764271e+08,4.085532381419600990e-03,4.551592103891215491e-01,9.361587352926039882e-07,1.496102520391732471e-01,3.517124298991133879e-03,3.192272327422651343e-07,7.017584982826821083e-01,7.301882031693619074e-03,8.527364213475176984e-09
3.633841721873152467e-03,3.665944419081944972e+01,9.420091332783738780e-01,6.854542675097698563e-06,2.170601179897916615e+08,4.883855711043301809e-03,3.842203269987504388e+00,1.085041703752391167e-06,1.564092336477405920e-01,4.204379255980460195e-03,5.506070431749943587e-07,7.074517222165207508e-01,9.927938854650300918e-03,1.561729419460720721e-08
5.613939785376876462e-03,3.432327883486657782e+01,8.869370476817194371e-01,1.066398816617982122e-05,1.118908417374236137e+08,5.863348622046360599e-03,3.279609545815650762e+01,1.265731336511991574e-06,1.636053092975629508e-01,5.047598204298129124e-03,9.474527441278438787e-07,7.125950529852743687e-01,1.352076957763981464e-02,2.852521770504889596e-08
8.681203485034257733e-03,3.219614541745860237e+01,8.350733287858087550e-01,1.669009996006114429e-05,5.766928006259775162e+07,7.072154846287896299e-03,2.801729719335048685e+02,1.486533865412444484e-06,1.712467246046697478e-01,6.088226780242581883e-03,1.630628390076931523e-06,7.172316088947472412e-01,1.846547681624750512e-02,5.210876688590146788e-08
1.343114688419471542e-02,3.025332668484550780e+01,7.862694943529441316e-01,2.626058545717484523e-05,2.973442021813245490e+07,8.564796795410972718e-03,2.397817801537585638e+03,1.756771165273146068e-06,1.793452355553883659e-01,7.373201852972298062e-03,2.805751775964916184e-06,7.213815158947920470e-01,2.527608219655795921e-02,9.515742125264304965e-08
2.078776586495097861e-02,2.847227518119631995e+01,7.403488182484874169e-01,4.152181580675117108e-05,1.533818771033784375e+07,1.040973742041506264e-02,2.054118404401884618e+04,2.088148502019909443e-06,1.879179731726439151e-01,8.961461324836545242e-03,4.826311345253514240e-06,7.250744961723002424e-01,3.466717666616091209e-02,1.736972936450979642e-07
3.216961433791507008e-02,2.683506381287071108e+01,6.971798713468755349e-01,6.591922186709344008e-05,7.920763104068209417e+06,1.268982512432120444e-02,1.758588170272839779e+05,2.494804862386907161e-06,1.969749107318346237e-01,1.092432714465234669e-02,8.295233217262060462e-06,7.283415956768517496e-01,4.761517926692736269e-02,3.167440956738577439e-07
