r, v_phi_cs, cs, vr_cs, sigma, Mdisk, Ew, Mdot_acc, Qtoomre, Mdisk_Menv, Rcj, dlnJ_dlnx, J, factor3
7.000061322726707684e-04,4.711272282092654251e+01,1.180340006555621324e+00,1.441754063925022683e-06,2.594491111881426334e+09,2.439536647604655627e-03,0.000000000000000000e+00,6.584444392995022416e-07,1.347898780970196164e-01,2.028089128269731489e-03,7.718718392168973343e-08,6.842106992969361201e-01,3.267736432985467177e-03,1.763073168957771505e-09
7.909448498640027619e-04,4.611719773904807340e+01,1.160342318049783605e+00,1.622479519988526052e-06,2.149914710014485359e+09,2.552461050357295817e-03,1.402045752083965835e-03,6.820238776161298570e-07,1.363880057484500308e-01,2.121967920278802159e-03,9.002888526433354349e-08,6.862605521087968841e-01,3.552999020031416457e-03,2.091608009702807659e-09
8.818835674553346469e-04,4.525679111220294004e+01,1.142822677469617965e+00,1.803168658610664137e-06,1.818616521928750038e+09,2.658589608450709352e-03,3.604930315577447100e-03,7.041000468870429917e-07,1.378363412742489580e-01,2.210197041607860069e-03,1.032502585897099206e-07,6.880523456449394448e-01,3.828897154494440621e-03,2.435303615235084866e-09
1.437747523153643956e-03,4.167954634812387127e+01,1.067496451686477110e+00,2.909441118744559660e-06,8.590226740965582132e+08,3.207571258584550680e-03,5.281000343910231126e-02,8.172032002756683017e-07,1.446236241362692243e-01,2.666588511418012657e-03,1.908157210066374030e-07,6.956862491717542563e-01,5.369970443467799760e-03,4.815897211347296961e-09
2.198190880120484778e-03,3.890824057236963540e+01,1.006268142938586019e+00,4.433081639156369857e-06,4.485643421300413609e+08,3.797439578681963135e-03,4.480221889307059446e-01,9.370794041301849731e-07,1.509164756972781185e-01,3.156970784738205235e-03,3.248582452341004232e-07,7.017585006071918041e-01,7.224712371271429720e-03,8.693694457846454308e-09
3.399380810705082516e-03,3.634214641280840397e+01,9.471845881935938571e-01,6.867797279019021499e-06,2.305444323328382969e+08,4.539468953031576028e-03,3.781956982780861232e+00,1.086108813980885922e-06,1.577748189771906728e-01,3.773850924027311732e-03,5.603248143900379960e-07,7.074517263618878005e-01,9.823016170013730911e-03,1.592191791571467524e-08
5.251720945423335625e-03,3.402620035748895333e+01,8.918099108691105448e-01,1.068461110246229363e-05,1.188417462961025834e+08,5.449893035795455067e-03,3.228186755712882672e+01,1.266976241244711210e-06,1.650337256754135229e-01,4.530724646822720247e-03,9.641848655936350614e-07,7.125950610083716663e-01,1.337787810860887813e-02,2.908162471079086864e-08
8.121085981600367071e-03,3.191747505888869441e+01,8.396611762681059909e-01,1.672238796479172862e-05,6.125176238118506223e+07,6.573461872841469301e-03,2.757805718294287658e+02,1.487996317739939254e-06,1.727418690430608250e-01,5.464794543052033278e-03,1.659446234681681049e-06,7.172316260868061288e-01,1.827033678900394711e-02,5.312523694232904746e-08
1.256458860975626091e-02,2.999146268605263188e+01,7.905889654486216722e-01,2.631145184273046343e-05,3.158144656915765628e+07,7.960858458430988827e-03,2.360243999982987589e+03,1.758501099575802668e-06,1.809111322035363290e-01,6.618195511467672362e-03,2.855382824791438538e-06,7.213815573668671544e-01,2.500901071022772898e-02,9.701393619833900202e-08
1.944672711272681098e-02,2.822579651768835163e+01,7.444151872155650995e-01,4.160260065140107977e-05,1.629075675259032473e+07,9.675740687344025828e-03,2.021984592631909618e+04,2.090211701248697241e-06,1.895588857487461310e-01,8.043849029784942359e-03,4.911805000625228538e-06,7.250746060677415450e-01,3.430108004074666067e-02,1.770880932906550914e-07
3.009515802412284641e-02,2.660266033671809183e+01,7.010064593303161340e-01,6.604943301567560692e-05,8.412324229478582740e+06,1.179520911082974563e-02,1.731239038685620180e+05,2.497298955497908753e-06,1.986955075960841477e-01,9.805852019821176269e-03,8.442602764511849869e-06,7.283419011220696460e-01,4.711330390441233890e-02,3.229396816570055652e-07
4.650404284333395366e-02,2.510965812902659877e+01,6.603136440925871931e-01,1.050984167021154562e-04,4.357393380150075071e+06,1.440746888601643350e-02,1.474284388882341329e+06,2.995923467407546176e-06,2.083097220084892398e-01,1.197753312798340887e-02,1.447640156046480144e-05,7.312123330906721286e-01,6.472642564111655283e-02,5.872714631825980724e-07
7.148904206300395192e-02,2.374255069597425560e+01,6.224634597620060106e-01,1.668889363420261230e-04,2.276283084781676996e+06,1.759692522374422391e-02,1.231036163040896691e+07,3.601421464478627701e-06,2.183305984781684639e-01,1.462906194596122131e-02,2.465295401195567027e-05,7.337070055718502015e-01,8.869120546092620905e-02,1.059748931246740628e-06
