r, v_phi_cs, cs, vr_cs, sigma, Mdisk, Ew, Mdot_acc, Qtoomre, Mdisk_Menv, Rcj, dlnJ_dlnx, J, factor3
7.962234437415006668e-04,4.791000391764671917e+01,1.167916765216495234e+00,1.436387537032147573e-06,2.309428949658653259e+09,2.809480338343444024e-03,0.000000000000000000e+00,6.571883832382323918e-07,1.325468094471920211e-01,2.507551854011521014e-03,7.462824013972026381e-08,6.842106980115847392e-01,3.335451100936032663e-03,1.698536079826485136e-09
8.996618787345544727e-04,4.689763171799398833e+01,1.148129555130471768e+00,1.616440292756342335e-06,1.913699086275241137e+09,2.939529168237876942e-03,1.445509742166865277e-03,6.807228408708241462e-07,1.341183422922344048e-01,2.623624630910217914e-03,8.704388780286852578e-08,6.862605506498673513e-01,3.626624953689450929e-03,2.015044940945733157e-09
1.003100313727608387e-03,4.602266456140076656e+01,1.130794311169865729e+00,1.796456866197966099e-06,1.618801322501772881e+09,3.061751597107109559e-03,3.716684625120222126e-03,7.027568970956553194e-07,1.355425757363230843e-01,2.732712092363514828e-03,9.982655688386736799e-08,6.880523440121365519e-01,3.908240301781793456e-03,2.346159608958755604e-09
1.635368932233812822e-03,4.238488263505804099e+01,1.056260904481342466e+00,2.898611527700252375e-06,7.646400583705482483e+08,3.693983592971251170e-03,5.444712794755129232e-02,8.156442909967617050e-07,1.422169098448879954e-01,3.296999548573052111e-03,1.844854069919878041e-07,6.956862464374645727e-01,5.481247994570273216e-03,4.639611844826693375e-09
2.500336769550968227e-03,3.956667857839022417e+01,9.956770347757323281e-01,4.416580622467685430e-06,3.992796525226153731e+08,4.373302480000409997e-03,4.619110165859793282e-01,9.352918075970870734e-07,1.484050403037365518e-01,3.903313574475580222e-03,3.140760817755751720e-07,7.017584961154046397e-01,7.374424119416646793e-03,8.375462543094922824e-09
3.866632368577915205e-03,3.695715928808104422e+01,9.372153546928230217e-01,6.842232974051229267e-06,2.052140695077380538e+08,5.227856696926023311e-03,3.899197784379252685e+00,1.084036882435527060e-06,1.551492507362969009e-01,4.666030786537889337e-03,5.417175597022148729e-07,7.074517183417192712e-01,1.002656970857940949e-02,1.533909551476326306e-08
5.973578134178647581e-03,3.460202254390983256e+01,8.824235460655197594e-01,1.064483535042725849e-05,1.057844310032518506e+08,6.276341018754382980e-03,3.328256718203542164e+01,1.264559097291569806e-06,1.622873540661134428e-01,5.601836874667671419e-03,9.321470820568157361e-07,7.125950454457905536e-01,1.365509229177160402e-02,2.801707695369188828e-08
9.237330108600493375e-03,3.245761721844061753e+01,8.308238256184612425e-01,1.666011329187157741e-05,5.452204686800710857e+07,7.570288933009274544e-03,2.843282590280450677e+02,1.485156770163365420e-06,1.698672011955530969e-01,6.756727139284129068e-03,1.604267924685333449e-06,7.172315926365235850e-01,1.864891454658596306e-02,5.118047119653708151e-08
1.429152792584276535e-02,3.049902973977535936e+01,7.822685818107393274e-01,2.621334269807569500e-05,2.811179354147479311e+07,9.168057397382512602e-03,2.433362451843363033e+03,1.755142170410535497e-06,1.779004302392497849e-01,8.182787048100789370e-03,2.760353934286886084e-06,7.213814764395021228e-01,2.552713599855691712e-02,9.346194673765614796e-08
2.211922915041702672e-02,2.870354363305739653e+01,7.365823625795389074e-01,4.144677551709404710e-05,1.450134404428141378e+07,1.114290659291554755e-02,2.084514381492100438e+04,2.086205564069617102e-06,1.864039491635893775e-01,9.945403676545285301e-03,4.748111231453558287e-06,7.250743911759920390e-01,3.501130816977512938e-02,1.706005977572952070e-07
3.422917529775772877e-02,2.705312939945016737e+01,6.936355756037863030e-01,6.579821570199880659e-05,7.488912206479083747e+06,1.358341634136501531e-02,1.784451014543849451e+05,2.492455664252702076e-06,1.953873513712661436e-01,1.212363737369442571e-02,8.160436250649176040e-06,7.283413032875406534e-01,4.808690472685288320e-02,3.110857440669481953e-07
5.288296535078561289e-02,2.553541612133906824e+01,6.533860563425213375e-01,1.046793089298572868e-04,3.880094199372002389e+06,1.659037647036384205e-02,1.518675415925773792e+06,2.989892466423735795e-06,2.048376512137208005e-01,1.480744631284350993e-02,1.398911600865270927e-05,7.312107039909218065e-01,6.605567269519362072e-02,5.655813525087597985e-07
8.125886969698017936e-02,2.414650108985337340e+01,6.159706471750949763e-01,1.661430824302415586e-04,2.028308336158734979e+06,2.025881635629651900e-02,1.265863234782467782e+07,3.593468351698549398e-06,2.146809888220865548e-01,1.808164727867913116e-02,2.380907895403045944e-05,7.337030887005943081e-01,9.048290211754027312e-02,1.019984403420112502e-06
1.233789395414966739e-01,2.288946426148765312e+01,5.816800720770350930e-01,2.611116070589829035e-04,1.080189187812575139e+06,2.464878394982035481e-02,1.001356729497175068e+08,4.312389828392722110e-06,2.247590778723973504e-01,2.199983500469891717e-02,3.991389174295150333e-05,7.358348598600503720e-01,1.229822303253923360e-01,1.808638823170024970e-06
1.842074963494298445e-01,2.176078429018017957e+01,5.505899482007937662e-01,4.039740368861374060e-04,5.903164003500012914e+05,2.980079040272641186e-02,7.283218532163479328e+08,5.152768990008342836e-06,2.349227934925626482e-01,2.659816700102863446e-02,6.551723172814742950e-05,7.376401781968157101e-01,1.652310416118330516e-01,3.132643099377946568e-06
2.704696770561599295e-01,2.074392267229067244e+01,5.223739380141813049e-01,6.150177471949382297e-04,3.309560308915313799e+05,3.579135933195178726e-02,4.849869530272089005e+09,6.126674705429628845e-06,2.451333520985770342e-01,3.194494306493237540e-02,1.053253459152207961e-04,7.391744594255841294e-01,2.194181186165048703e-01,5.301254951279886076e-06
3.916708311934188891e-01,1.981854786378028166e+01,4.965580656959490136e-01,9.238599016791578444e-04,1.895152805596086546e+05,4.274839453553836571e-02,3.002051054746681595e+10,7.254515478661450769e-06,2.554295609321199922e-01,3.815432146316780071e-02,1.664268418115485103e-04,7.404940465042264552e-01,2.885656405708977301e-01,8.800215295703928573e-06
5.613446076404582374e-01,1.896655784314510029e+01,4.726986810153865348e-01,1.374142323077687288e-03,1.102559615750230150e+05,5.084991298444294788e-02,1.760741496452044678e+11,8.564746901599038761e-06,2.658814530446080848e-01,4.538518808629482537e-02,2.596078264047421875e-04,7.416464342050821390e-01,3.767766529617185833e-01,1.439957912541629185e-05
7.987289857876258559e-01,1.817377021703573448e+01,4.504406036193328022e-01,2.030274937580935947e-03,6.486144735679201403e+04,6.032251116257598272e-02,9.949358300360777588e+11,1.009358063801207496e-05,2.765640582971722328e-01,5.383978760767434146e-02,4.013337348870421985e-04,7.426695241820024940e-01,4.895122089737029558e-01,2.332482454595140631e-05
1.131045999823292680e+00,1.742980469136431410e+01,4.295215890703025785e-01,2.987154638813013449e-03,3.844224661578517407e+04,7.144143068672799413e-02,5.485105256848525391e+12,1.188498184999115416e-05,2.875446804121639111e-01,6.376378205136991328e-02,6.167284933616040471e-04,7.435939627955097109e-01,6.339270808127975831e-01,3.752698957131188979e-05
1.596673383355136977e+00,1.672730688052688564e+01,4.097552903319471862e-01,4.384349367184532838e-03,2.289517933859609911e+04,8.453413478704972783e-02,2.976358704632278125e+13,1.399125426879570942e-05,2.988791441846681551e-01,7.544944291637668832e-02,9.440819535512063546e-04,7.444462056265879202e-01,8.193098913364053049e-01,6.011017731447751877e-05
2.249600102615699537e+00,1.606110267152880766e+01,3.910101692568213605e-01,6.426932634709697778e-03,1.367862248564635956e+04,9.998779318307564334e-02,1.598934259306982812e+14,1.647427373803994798e-05,3.106126305669615340e-01,8.924233166998306321e-02,1.441695271055771143e-03,7.452514420653175709e-01,1.057670161494166594e+00,9.600927234517703148e-05
