r, v_phi_cs, cs, vr_cs, sigma, Mdisk, Ew, Mdot_acc, Qtoomre, Mdisk_Menv, Rcj, dlnJ_dlnx, J, factor3
9.694221143293515986e-04,2.320338973549482020e+01,9.726177026022034822e-01,1.687500070892544218e-06,3.085585995578566790e+08,5.564356798353983519e-04,0.000000000000000000e+00,1.045931729013906820e-07,2.736805887201042009e-01,1.029617030388178334e-03,3.229261814185272485e-07,6.842105263157893802e-01,1.375015630264370906e-03,8.507392915916100650e-09
1.095361004799827627e-03,2.271308534734499673e+01,9.561393081902256341e-01,1.899030024518426528e-06,2.556858468606238067e+08,5.821926600577242289e-04,0.000000000000000000e+00,1.083387348695739658e-07,2.769254640688780245e-01,1.077277211877839674e-03,3.767888002195292503e-07,6.862603558804827308e-01,1.495049904106989175e-03,1.009267898981048980e-08
1.221299895270303113e-03,2.228932787412785643e+01,9.417028618393903372e-01,2.110517466823914872e-06,2.162850885162096322e+08,6.063995691573423287e-04,0.000000000000000000e+00,1.118455038591934864e-07,2.798661979458422211e-01,1.122069173941448112e-03,4.322672727908285487e-07,6.880521261027744417e-01,1.611143748808886418e-03,1.175112071760035458e-08
1.991102776072030227e-03,2.052750424616208846e+01,8.796329188910203545e-01,3.405352955176832695e-06,1.021621437710968405e+08,7.316169608491763024e-04,0.000000000000000000e+00,1.298117701334631806e-07,2.936472522753614256e-01,1.353768836020697967e-03,8.001641657538501187e-07,6.956858855286836008e-01,2.259604391390057209e-03,2.323825175098711040e-08
3.044229895749348252e-03,1.916260425765372233e+01,8.291795944869164714e-01,5.188708207977730760e-06,5.334680947640591115e+07,8.661608663158771497e-04,0.000000000000000000e+00,1.488540112629058755e-07,3.064244707182828265e-01,1.602726085570962272e-03,1.364420341914239722e-06,7.017579698713476422e-01,3.040056751214119737e-03,4.195001605686336016e-08
4.707738148139442927e-03,1.789877617939577803e+01,7.804937395647132403e-01,8.038432713619178077e-06,2.741810584512290359e+07,1.035410725512480668e-03,0.000000000000000000e+00,1.725271081624422994e-07,3.203498379213434166e-01,1.915902511409027899e-03,2.357678373470347337e-06,7.074508889906054865e-01,4.133387936997951102e-03,7.682878255971192951e-08
7.273047817008459516e-03,1.675813574459650468e+01,7.348636098722086674e-01,1.250589925342820959e-05,1.413344216703452356e+07,1.243071681347406770e-03,0.000000000000000000e+00,2.012578585825303947e-07,3.350886652482257810e-01,2.300154033054037806e-03,4.065279920895516972e-06,7.125937891770625088e-01,5.629243000453556384e-03,1.403300796814454526e-07
1.124700966172901065e-02,1.571952215167727473e+01,6.918904623277135624e-01,1.957324410332859845e-05,7.284245411109841429e+06,1.499357769519784256e-03,0.000000000000000000e+00,2.363679476890405592e-07,3.507401369740010266e-01,2.774380490120745973e-03,7.012850520420403939e-06,7.172297711250879004e-01,7.688026293555349881e-03,2.563567463858851314e-07
1.740204944608172294e-02,1.477079873141545541e+01,6.514482516499464637e-01,3.079921418986259076e-05,3.755371771595031954e+06,1.815862848199727804e-03,0.000000000000000000e+00,2.793442173474429189e-07,3.673298223401141316e-01,3.360034917079167838e-03,1.209887666569292362e-05,7.213790933409724992e-01,1.052411074269471968e-02,4.681865805643268542e-07
2.694025815885267572e-02,1.390073912871071293e+01,6.133806818703132491e-01,4.871065123833567123e-05,1.936443453395695891e+06,2.207255286259902048e-03,0.000000000000000000e+00,3.320682805432897804e-07,3.848983326219881373e-01,4.084259359176616207e-03,2.087859256877102828e-05,7.250721055349717004e-01,1.443679694041772113e-02,8.549038059509094654e-07
4.172639741247400474e-02,1.309990355077590074e+01,5.775470571617420390e-01,7.740247451925387533e-05,9.986996877746029058e+05,2.691762107831306705e-03,0.000000000000000000e+00,3.968759803257489861e-07,4.034861808056013355e-01,4.980780723472905472e-03,3.604044651650438133e-05,7.283420693960733772e-01,1.984117882219986126e-02,1.560789868594047750e-06
