r, v_phi_cs, cs, vr_cs, sigma, Mdisk, Ew, Mdot_acc, Qtoomre, Mdisk_Menv, Rcj, dlnJ_dlnx, J, factor3
8.280027332587370321e-04,2.272139145977429209e+01,9.852020243737519278e-01,1.695390288062545788e-06,3.554283266873071194e+08,4.675919738800314715e-04,0.000000000000000000e+00,1.047238463337136327e-07,2.794862882563674544e-01,8.366437402959990685e-04,3.370593197971118362e-07,6.842105263157893802e-01,1.340186482119099355e-03,8.913646439695310077e-09
9.355696476005522042e-04,2.224127204340490493e+01,9.685104224322337307e-01,1.907909288919214766e-06,2.945242583986332417e+08,4.892364471943755951e-04,0.000000000000000000e+00,1.084740878180143201e-07,2.827999984881547357e-01,8.753713364097337338e-04,3.932877814899784314e-07,6.862603558804827308e-01,1.457180287610553406e-03,1.057463467758788847e-08
1.043136561942367268e-03,2.182631717936438420e+01,9.538871885228021874e-01,2.120385579685987368e-06,2.491385662525285482e+08,5.095783426148368976e-04,0.000000000000000000e+00,1.119852379878536233e-07,2.858031153692830451e-01,9.117682816525348203e-04,4.512045301099356503e-07,6.880521261027744417e-01,1.570333475037813701e-03,1.231227197122926402e-08
1.700640532557404867e-03,2.010109147784454819e+01,8.910141467492079803e-01,3.421275309680915252e-06,1.176804660878175944e+08,6.148028087428107982e-04,0.000000000000000000e+00,1.299739504085888682e-07,2.998765129048032163e-01,1.100042238071095467e-03,8.352993933163106803e-07,6.956858855286771615e-01,2.202368608489754364e-03,2.434794795915465582e-08
2.600137377814332532e-03,1.876454421919515880e+01,8.399080264243026228e-01,5.212968968196850438e-06,6.145013379463521391e+07,7.278646640668867077e-04,0.000000000000000000e+00,1.490399819532042130e-07,3.129247797678417209e-01,1.302339323579687364e-03,1.424467374367746236e-06,7.017579698713428682e-01,2.963052108773288427e-03,4.395325512363217637e-08
4.020972903863604016e-03,1.752696932900456517e+01,7.905922441807831103e-01,8.076017885262119244e-06,3.158288732006493211e+07,8.700911218742883591e-04,0.000000000000000000e+00,1.727426548254290966e-07,3.271455515455959362e-01,1.556819473531031962e-03,2.461707786262029802e-06,7.074508889906010456e-01,4.028689213847213603e-03,8.049758732172274860e-08
6.212054978515264315e-03,1.641002313582492889e+01,7.443717240059792850e-01,1.256437288712479161e-05,1.628029718491637520e+07,1.044595740746641485e-03,0.000000000000000000e+00,2.015092999952996928e-07,3.421970397132668706e-01,1.869053654585969273e-03,4.245178302721915052e-06,7.125937891770587340e-01,5.486654266118464601e-03,1.470312618092344017e-07
9.606294928952331322e-03,1.539298440617479535e+01,7.008425636367168199e-01,1.966476240863149712e-05,8.390714636900490150e+06,1.259961724973169802e-03,0.000000000000000000e+00,2.366632538754398888e-07,3.581805325829800490e-01,2.254399453147603889e-03,7.324207098104663016e-06,7.172297711250850138e-01,7.493288575065793454e-03,2.685985497905530951e-07
1.486343698237666683e-02,1.446396858285929099e+01,6.598770869408920881e-01,3.094322158447246904e-05,4.325808798652105965e+06,1.525931790959608042e-03,0.000000000000000000e+00,2.796932159165240605e-07,3.751221418070774249e-01,2.730289124578874453e-03,1.263803725468272019e-05,7.213790933409708339e-01,1.025753500050771358e-02,4.905438937881563066e-07
2.301021099117174853e-02,1.361198251307578211e+01,6.213169756972249935e-01,4.893840685351628174e-05,2.230587179716438521e+06,1.854832271835469984e-03,0.000000000000000000e+00,3.324831498964284789e-07,3.930633401647680158e-01,3.318777686993194288e-03,2.181290786194415419e-05,7.250721055349718114e-01,1.407111285049635584e-02,8.957280263780799063e-07
3.563934698403745105e-02,1.282778249451761887e+01,5.850197136701076328e-01,7.776438403501870688e-05,1.150401121204480529e+06,2.261979960718691566e-03,0.000000000000000000e+00,3.973718171487864103e-07,4.120455000607657348e-01,4.047270869743004561e-03,3.766092111323675285e-05,7.283420693960762637e-01,1.933860173045118605e-02,1.635322265330633612e-06
5.522337781372180232e-02,1.210346716499002717e+01,5.508506900741957368e-01,1.241068840088382658e-04,5.933987976876468165e+05,2.766465088513599731e-03,0.000000000000000000e+00,4.772722564537108847e-07,4.321128367322575325e-01,4.949926064484065982e-03,6.505023193515799165e-05,7.312242163943851736e-01,2.662195252077415031e-02,2.985172148178320339e-06
8.560083384600772338e-02,1.143229625412661399e+01,5.186837222121152280e-01,1.988522189882611587e-04,3.061276747197835939e+05,3.392071604784623398e-03,0.000000000000000000e+00,5.758116390773134968e-07,4.533121426086040295e-01,6.069298947177789207e-03,1.124157963726001892e-04,7.337542336229460060e-01,3.670179686601289515e-02,5.448565439082536912e-06
1.327317369708245487e-01,1.080850899524084596e+01,4.884003319059400106e-01,3.197584709405589128e-04,1.579462213438800827e+05,4.168435573754252291e-03,0.000000000000000000e+00,6.975073975099327181e-07,4.756930644666175212e-01,7.458416150024490925e-03,1.943889736052236057e-04,7.359671873959647836e-01,5.066286662226487936e-02,9.943719276952065264e-06
2.058710691690816275e-01,1.022717236489147474e+01,4.598892612206448849e-01,5.158385127973854093e-04,8.150039999577550043e+04,5.132486861865410976e-03,0.000000000000000000e+00,8.479863925965821922e-07,4.993082751402420083e-01,9.183354815736991320e-03,3.363825166624406738e-04,7.378967162871404861e-01,7.001279362419375596e-02,1.814578135227958619e-05
3.193916775986758716e-01,9.684051134085352786e+00,4.330459957174254693e-01,8.345578800739510920e-04,4.205794844787650072e+04,6.330246707168417884e-03,0.000000000000000000e+00,1.034258169499837080e-06,5.242136545400758463e-01,1.132645891702289097e-02,5.826032744112929563e-04,7.395744793449268162e-01,9.684739412726682539e-02,3.311067908104392657e-05
4.956161070181216988e-01,9.175497678794497958e+00,4.077723276667107322e-01,1.353663144630122073e-03,2.170546222690078139e+04,7.819068363552800910e-03,0.000000000000000000e+00,1.265055551260021097e-06,5.504684629306236809e-01,1.399034835228231237e-02,1.010093340614308995e-03,7.410298143330515952e-01,1.340806278872516133e-01,6.041306317440826965e-05
7.692159227999676441e-01,8.698358845679555529e+00,3.839759509381985847e-01,2.200631016989477735e-03,1.120258007222956803e+04,9.670430179207876661e-03,0.000000000000000000e+00,1.551259191154663093e-06,5.781355123050402334e-01,1.730291648992160133e-02,1.753417503279863267e-03,7.422895636974280453e-01,1.857645558365765004e-01,1.102219558150120861e-04
1.194046355302806450e+00,8.249897533367898106e+00,3.615700856561576693e-01,3.584664053954155372e-03,5.782174569423408684e+03,1.197341729936041675e-02,0.000000000000000000e+00,1.906426781993842737e-06,6.072813376875852986e-01,2.142355984072530709e-02,3.048249590110607352e-03,7.433780284566344765e-01,2.575345358596110024e-01,2.010867421210754810e-04
1.853764629914994577e+00,7.827726869968191892e+00,3.404731299383412790e-01,5.849349468387728124e-03,2.984592620955450911e+03,1.483906179272090689e-02,0.000000000000000000e+00,2.347452728199394960e-06,6.379763706896188769e-01,2.655094367366269553e-02,5.308730226041701201e-03,7.443170153122393717e-01,3.572286984908817908e-01,3.668427390389984916e-04
2.878326977997712977e+00,7.429755109358348264e+00,3.206083364147991333e-01,9.559357519239279274e-03,1.540624155439543756e+03,1.840575286574739830e-02,0.000000000000000000e+00,2.895390446651211759e-06,6.702951171006094055e-01,3.293268229730905022e-02,9.265699179842037600e-03,7.451259481664892492e-01,4.957499524803732349e-01,6.692066576747895089e-04
4.469619419883545497e+00,7.054139597031841902e+00,3.019035114925987529e-01,1.564322840657145566e-02,7.952864708034734349e+02,2.284598104367778840e-02,0.000000000000000000e+00,3.576477370343638140e-06,7.043163379598507134e-01,4.087740615500402158e-02,1.621595519204868316e-02,7.458220219475761859e-01,6.882655030806196228e-01,1.220749950025078060e-03
6.941279997961619763e+00,6.699248358710847562e+00,2.842907363146908173e-01,2.562859412388017108e-02,4.105476565907296731e+02,2.837474552986263623e-02,0.000000000000000000e+00,4.423412321417701577e-06,7.401232111514747247e-01,5.076980477886097048e-02,2.847739053712761495e-02,7.464203910740500048e-01,9.558760786293406531e-01,2.226800324872617656e-03
1.078057181757239924e+01,6.363627933835101835e+00,2.677061158988548462e-01,4.202970850247693402e-02,2.119410145708678783e+02,3.526003836650497270e-02,0.000000000000000000e+00,5.476943589633590454e-06,7.778032187345471637e-01,6.308938568201748198e-02,5.023526942105364934e-02,7.469344803425801427e-01,1.327938959905900163e+00,4.061864477060419046e-03
1.674453243706274819e+01,6.045975030276217410e+00,2.520896321351363545e-01,6.898511130063547658e-02,1.094154411164349341e+02,4.383596089999634848e-02,0.000000000000000000e+00,6.787796059129137628e-06,8.174450818285997622e-01,7.843394312891205367e-02,8.916006158129650971e-02,7.473774158625858810e-01,1.845302634952472820e+00,7.408981563993740846e-03
2.600960816464487380e+01,5.745098178193299709e+00,2.373858262867306612e-01,1.132918965088519775e-01,5.649063001472286061e+01,5.451965851288492065e-02,0.000000000000000000e+00,8.418421187042160678e-06,8.591046708693752532e-01,9.754985877833642627e-02,1.596378441276182503e-01,7.477746230501474134e-01,2.564834177198835441e+00,1.351327178836260641e-02
4.040772643690781507e+01,5.459749920823138147e+00,2.235522474849574448e-01,1.858339559757468951e-01,2.918389340953639888e+01,6.783953083970782616e-02,0.000000000000000000e+00,1.043706886808985381e-05,9.024463661316248775e-01,1.213825771017639915e-01,2.895557986085032787e-01,7.482876619486152903e-01,3.566066596928538779e+00,2.463303677137726813e-02
6.281764289832621984e+01,5.187574283046257229e+00,2.106500226524746500e-01,2.994432867059717007e-01,1.517575818464768034e+01,8.453725703226995514e-02,0.000000000000000000e+00,1.281076061990226013e-05,9.431161187453487305e-01,1.512591551368007992e-01,5.309019495814972789e-01,7.503983321835190345e-01,4.963416478162893775e+00,4.463682107081228673e-02
8.280027332587368960e+01,5.019604002132098231e+00,2.033350746451425828e-01,3.817354770844931799e-01,1.028748181242932880e+01,9.720981609137419044e-02,0.000000000000000000e+00,1.408583071576277310e-05,9.554579961637841290e-01,1.739336615496314409e-01,7.507583018140764342e-01,7.564651821121439745e-01,6.110641002295156277e+00,6.356021597704894499e-02
