r, v_phi_cs, cs, vr_cs, sigma, Mdisk, Ew, Mdot_acc, Qtoomre, Mdisk_Menv, Rcj, dlnJ_dlnx, J, factor3
6.350456392968308484e-04,3.017145625813920518e+01,1.080680874170069083e+00,1.591843991450776923e-06,9.832091363196402788e+08,7.608643783795178070e-04,0.000000000000000000e+00,2.288313919938399913e-07,2.104743731079193880e-01,8.614829152691982168e-04,1.894674299054494277e-07,6.842107371870569388e-01,1.895377714159131310e-03,4.746391074808425091e-09
7.175452547700529159e-04,2.953391221012573808e+01,1.062371642389587478e+00,1.791383390252031907e-06,8.147323338911538124e+08,7.960842533231869342e-04,3.947902420585590322e-03,2.370260355444189545e-07,2.129698493646753621e-01,9.013603512539257153e-04,2.210254392053818918e-07,6.862605950746950567e-01,2.060837934352128913e-03,5.630843748161317212e-09
8.000448702432750919e-04,2.898289936213205209e+01,1.046331230622360664e+00,1.990882691625399436e-06,6.891834763159388304e+08,8.291845804467183135e-04,1.015081930444116688e-02,2.446982431652273221e-07,2.152314252382684090e-01,9.388379453127719456e-04,2.535226102989236458e-07,6.880523937051221672e-01,2.220866513950439658e-03,6.556110890152815054e-09
1.304324761607461927e-03,2.669199674265576405e+01,9.773649907335613118e-01,3.212320830520609003e-06,3.255354954056168199e+08,1.000405937906145761e-03,1.487034382504354990e-01,2.840053832343182652e-07,2.258297681274827051e-01,1.132702027233192885e-03,4.688729977892188804e-07,6.956863292107393626e-01,3.114731928244382757e-03,1.296493631001231011e-08
1.994198533466300192e-03,2.491722690305743626e+01,9.213063866009749692e-01,4.894574670538390579e-06,1.699881647805041373e+08,1.184379300002387243e-03,1.261547076073067819e+00,3.256663665185042077e-07,2.356560497319290515e-01,1.341004469579221018e-03,7.988080389591441311e-07,7.017586202957420971e-01,4.190533098419316725e-03,2.340439155935427840e-08
3.083921724691469912e-03,2.327387138098590924e+01,8.672112659295215797e-01,7.582758947460957770e-06,8.736707751454859972e+07,1.415810949907869362e-03,1.064931500900543426e+01,3.774592799126802488e-07,2.463653848931130763e-01,1.603041197952234176e-03,1.378926473565481992e-06,7.074519310086279100e-01,5.697626566929042680e-03,4.286364124699572121e-08
4.764386783384206257e-03,2.179070482560893751e+01,8.165115551967981888e-01,1.179696824871117892e-05,4.503596503294634819e+07,1.699765756256015493e-03,9.090124141305776106e+01,4.403175756774868151e-07,2.577002853919221903e-01,1.924546871405492321e-03,2.374957595501022255e-06,7.125954194803331143e-01,7.759571123465165005e-03,7.829153729018160133e-08
7.367599876208422507e-03,2.044021570417266886e+01,7.687643239851770227e-01,1.846361847590833433e-05,2.321128666173821315e+07,2.050209591982345841e-03,7.765979340951558925e+02,5.171327902414512233e-07,2.697369922815645582e-01,2.321334243529058015e-03,4.091715000167767927e-06,7.172322972476803393e-01,1.059746085988861296e-02,1.430230266795760006e-07
1.139944481637511497e-02,1.920664108876966836e+01,7.238301620896724353e-01,2.905280174684186868e-05,1.196677773430743441e+07,2.482988642800186985e-03,6.647624038907253635e+03,6.111564687389373822e-07,2.824949623273402821e-01,2.811345037778677138e-03,7.048974897186096180e-06,7.213829504714126539e-01,1.450670874114291971e-02,2.611989400999449669e-07
1.764678078354298130e-02,1.807543660143924313e+01,6.815373924879083445e-01,4.594646915050147796e-05,6.171068366659784690e+06,3.018125524205266842e-03,5.698518873669180175e+04,7.264980793471946429e-07,2.960046730492773559e-01,3.417249708520094832e-03,1.214380222859391211e-05,7.250778542127076509e-01,1.989944982014451788e-02,4.769153373207518797e-07
