r, v_phi_cs, cs, vr_cs, sigma, Mdisk, Ew, Mdot_acc, Qtoomre, Mdisk_Menv, Rcj, dlnJ_dlnx, J, factor3
8.280027332587370321e-04,3.123862704455405748e+01,1.057423788733049097e+00,1.579595580977129522e-06,7.739512871825758219e+08,1.018189555778069256e-03,0.000000000000000000e+00,2.280379744183805739e-07,2.032841685912268326e-01,1.230968099945426103e-03,1.766076326430192426e-07,6.842107339544523104e-01,1.977634492066001476e-03,4.393570451532490944e-09
9.355696589635392529e-04,3.057853291798026873e+01,1.039508585665499751e+00,1.777599627760847933e-06,6.413316503837418556e+08,1.065320830626751434e-03,4.202239497172118553e-03,2.362042047990830085e-07,2.056943946243246779e-01,1.287948743205072485e-03,2.060197867942753206e-07,6.862605914109114469e-01,2.150275456631915109e-03,5.212277778097644394e-09
1.043136584668341365e-03,3.000803061863100396e+01,1.023813375857284047e+00,1.975563885582598526e-06,5.425035408258199692e+08,1.109615724152565597e-03,1.080476903529734023e-02,2.438498106545725053e-07,2.078787107556377134e-01,1.341500265720042351e-03,2.363065781533724981e-07,6.880523896081358615e-01,2.317249054752021885e-03,6.068765651196531006e-09
1.700640707899716067e-03,2.763609823890388384e+01,9.563313424817052599e-01,3.187603684744013417e-06,2.562512954932836890e+08,1.338744326367919020e-03,1.582834077610426882e-01,2.830206607905259643e-07,2.181149939940253968e-01,1.618511553560891348e-03,4.369962385003275065e-07,6.956863224041425209e-01,3.249906981157092527e-03,1.200119424172019101e-08
2.600131126041071994e-03,2.579855409234691166e+01,9.014791546341016648e-01,4.856913738967185100e-06,1.338093195714613795e+08,1.584937709182213193e-03,1.342820420191606745e+00,3.245371981372255511e-07,2.276055924194316515e-01,1.916153774444273334e-03,7.444390488944165016e-07,7.017586106106972199e-01,4.372396602662816101e-03,2.166463974400008439e-08
4.020963999536241763e-03,2.409707281866148776e+01,8.485482076063278756e-01,7.524413636729661528e-06,6.877261064538806677e+07,1.894639747422890118e-03,1.133538144031216177e+01,3.761505218093131149e-07,2.379490751496925460e-01,2.290576520581189598e-03,1.284951568624465351e-06,7.074519147875587555e-01,5.944895683156088510e-03,3.967739535505318481e-08
6.212033621958611834e-03,2.256144660129092472e+01,7.989396060360792751e-01,1.170619535219695625e-05,3.545089858405561000e+07,2.274628220397499189e-03,9.675738129013716105e+01,4.387908418803695771e-07,2.488967505198972641e-01,2.749973973564564210e-03,2.212868638797846562e-06,7.125953927311878822e-01,8.096325019322858987e-03,7.247176667427418544e-08
9.606222192607113616e-03,2.116319147899934094e+01,7.522199754345476608e-01,1.832153994677544479e-05,1.827120829354664683e+07,2.743591905059982773e-03,8.266276087836621400e+02,5.153396083285444546e-07,2.605222479400059465e-01,3.316940441229069333e-03,3.812005645462371282e-06,7.172322519609317659e-01,1.105737132404739469e-02,1.323913889907961589e-07
1.486310694306951230e-02,1.988598905893276836e+01,7.082529816879344908e-01,2.882919032922114506e-05,9.419900443792074919e+06,3.322734618878021677e-03,7.075837752947772969e+03,6.090368397460389071e-07,2.728443335181360840e-01,4.017110858397655859e-03,6.566223309310426223e-06,7.213828693758296273e-01,1.513625561687460472e-02,2.417821548445753508e-07
2.300853063472095214e-02,1.871478746075866439e+01,6.668708994522080102e-01,4.559255253881115254e-05,4.857728245407792740e+06,4.038843771337425649e-03,6.065480538628705108e+04,7.239766588470728655e-07,2.858923450567507074e-01,4.882870596114530226e-03,1.131036447872356292e-05,7.250776951792508029e-01,2.076293734509899666e-02,4.414593260935176526e-07
3.563046124690166100e-02,1.763707258296741998e+01,6.279279237347068499e-01,7.243424862628110750e-05,2.506002768565808889e+06,4.925029996675657842e-03,5.204546999099329114e+05,8.652139990109572752e-07,2.996933138750995651e-01,5.954249660859312586e-03,1.948061208009869551e-05,7.283498828416317128e-01,2.853191924236537363e-02,8.057687034967823371e-07
5.517606037573743322e-02,1.664259200972542274e+01,5.913025801766463863e-01,1.155251809477505061e-04,1.293842166269637411e+06,6.021809437395208089e-03,4.464927747808300890e+06,1.038927426309832668e-06,3.142682850960510366e-01,7.280231150789295835e-03,3.353891163258827611e-05,7.312337272115864151e-01,3.926039565451149016e-02,1.469638831469321492e-06
8.535320207867982956e-02,1.572391915099345816e+01,5.569298550339988330e-01,1.846946782095006351e-04,6.695442434244746109e+05,7.376617424525992728e-03,3.815931024138633907e+07,1.252335729285276641e-06,3.296127960489759756e-01,8.918163306197081364e-03,5.764962961179038699e-05,7.337614264814881215e-01,5.404485590245877019e-02,2.674874214714680512e-06
1.315134140481603875e-01,1.487794753470477538e+01,5.248689913427593279e-01,2.949560014036357522e-04,3.487657755125330877e+05,9.038008968923096423e-03,3.213859629018375874e+08,1.512790737707219263e-06,3.456460540805768589e-01,1.092674803491106017e-02,9.858922264199819518e-05,7.359587584444400310e-01,7.425697166140617089e-02,4.839485580414021016e-06
2.006617728307375226e-01,1.410660635226591886e+01,4.953417766466591821e-01,4.673527775505425955e-04,1.844710919332166086e+05,1.104166312899100728e-02,2.598302843604207993e+09,1.825616447697459622e-06,3.621477980191875612e-01,1.334912051002623730e-02,1.665498972311347061e-04,7.378445173244763122e-01,1.013830594558539633e-01,8.634929263378410345e-06
3.013586013317695045e-01,1.341089753570014942e+01,4.685087055235067632e-01,7.295326454194665366e-04,9.996963392090592242e+04,1.340755072521107767e-02,1.946526376820232391e+10,2.193718409793531413e-06,3.788422892033894707e-01,1.620942500094979533e-02,2.758858769782397214e-04,7.394453751590657209e-01,1.369091089779475856e-01,1.507064044226878910e-05
4.448468273694109465e-01,1.278380603726720999e+01,4.441911732800794543e-01,1.119616239413597815e-03,5.562153276570406160e+04,1.616536554456994221e-02,1.332527415347130585e+11,2.621557297633247356e-06,3.956063324057412789e-01,1.954356062326358806e-02,4.473528248497069654e-04,7.408076904288291020e-01,1.826475443061386095e-01,2.568083360166799735e-05
