r, v_phi_cs, cs, vr_cs, sigma, Mdisk, Ew, Mdot_acc, Qtoomre, Mdisk_Menv, Rcj, dlnJ_dlnx, J, factor3
8.754204793527635550e-04,3.146742448238161671e+01,1.052606728786242174e+00,1.577036082187222783e-06,7.360398819722495079e+08,1.082396106925247962e-03,0.000000000000000000e+00,2.278728646158417114e-07,2.018061035506405754e-01,1.331088063005693347e-03,1.740218849368041435e-07,6.842107332821025789e-01,1.995352220396810761e-03,4.322896062314587692e-09
9.891475069074607846e-04,3.080249570302171946e+01,1.034773137834243961e+00,1.774719292919127970e-06,6.099165154206753969e+08,1.132499457443994712e-03,4.257648382799894375e-03,2.360331822301375863e-07,2.041988049953004092e-01,1.392703188342336645e-03,2.030026374424303899e-07,6.862605906488524754e-01,2.169539883979930330e-03,5.128433772536097174e-09
1.102874534462158123e-03,3.022781493794651908e+01,1.019149427034207633e+00,1.972362779148075477e-06,5.159294243103097081e+08,1.179587565760076761e-03,1.094723597848481188e-02,2.436732522716369565e-07,2.063672391133211659e-01,1.450610287682434912e-03,2.328450671484805839e-07,6.880523887559534257e-01,2.338009406862230806e-03,5.971144296685306800e-09
1.798032353379444602e-03,2.783851007967235702e+01,9.519748058589462270e-01,3.182438646784537182e-06,2.436990238261952996e+08,1.423164907242160070e-03,1.603704624335531848e-01,2.828157405408421232e-07,2.165290950237890588e-01,1.750152100140056882e-03,4.305876587569596432e-07,6.956863209881686272e-01,3.279023060315168926e-03,1.180814463580258915e-08
2.749034480096851623e-03,2.598750735697764824e+01,8.973724937694557147e-01,4.849043889335655375e-06,1.272547709444905967e+08,1.684883133459995092e-03,1.360526313738932735e+00,3.243022187035022725e-07,2.259506882200378874e-01,2.072002857511307059e-03,7.335096856971602384e-07,7.017586085893483538e-01,4.411569156656653529e-03,2.131614562981376362e-08
4.251235046525869005e-03,2.427356414134525409e+01,8.446826730618010037e-01,7.512221453551238501e-06,6.540383702020413429e+07,2.014114823285942466e-03,1.148484516702962921e+01,3.758781697549619252e-07,2.362189639441669431e-01,2.476879010969956687e-03,1.266062748784882128e-06,7.074519113990999086e-01,5.998156298533595561e-03,3.903915031911256025e-08
6.567781834853192620e-03,2.272669077735548981e+01,7.953000647114195631e-01,1.168722687977793484e-05,3.371436479358338565e+07,2.418065150107618667e-03,9.803317572612806430e+01,4.384731287602103754e-07,2.470870387579442717e-01,2.973641198711930549e-03,2.180293242753196895e-06,7.125953871241592630e-01,8.168860220875682338e-03,7.130599345174062172e-08
1.015634639179709316e-02,2.131819483309604379e+01,7.487932738129282617e-01,1.829185017398447731e-05,1.737621040151757374e+07,2.916601307019546507e-03,8.375268339265854820e+02,5.149664456302233037e-07,2.586280051127111124e-01,3.586721311617426921e-03,3.755800036853251677e-06,7.172322424077968162e-01,1.115643378158232869e-02,1.302617375094352648e-07
1.571427396897119230e-02,2.003163887532737775e+01,7.050266046051103519e-01,2.878246197221447366e-05,8.958480408357631415e+06,3.532263834074695925e-03,7.169125324985223415e+03,6.085957354413534760e-07,2.708604867703522379e-01,4.343838817269750179e-03,6.469233702479764016e-06,7.213828520873927230e-01,1.527185649236733472e-02,2.378927223283945368e-07
2.432613032645620371e-02,1.885186237692899169e+01,6.638331542408968389e-01,4.551858921491942962e-05,4.619788712196401320e+06,4.293527673632869211e-03,6.145421072755297791e+04,7.234519064966526484e-07,2.838135858803499945e-01,5.280011077268230262e-03,1.114294891197569444e-05,7.250776607784976679e-01,2.094892560943977314e-02,4.343569993608200471e-07
3.767068702017398185e-02,1.776626481795840462e+01,6.250679763400432964e-01,7.231637667449369660e-05,2.383271564085149206e+06,5.235584107376002778e-03,5.273059085122216493e+05,8.645851474806562175e-07,2.975140537416523512e-01,6.438514942544788962e-03,1.919150667150265914e-05,7.283498060221794690e-01,2.878740034174545950e-02,7.928001380616310995e-07
5.833452285075094862e-02,1.676453521715470885e+01,5.886107712506158940e-01,1.153351494284879950e-04,1.230506870626579737e+06,6.401473227845740945e-03,4.523456150117201731e+06,1.038164971881959034e-06,3.119824817132357264e-01,7.872279422217525954e-03,3.303925766258880873e-05,7.312335374553859957e-01,3.961146442782501748e-02,1.445952947901243794e-06
9.023425227325208853e-02,1.583923954777424292e+01,5.543986078602752832e-01,1.843801293447995667e-04,6.368207817566375015e+05,7.841500569151716588e-03,3.865232763617749512e+07,1.251387143064367989e-06,3.272134552323362477e-01,9.643168279032851217e-03,5.678460166622961198e-05,7.337609364369510612e-01,5.452597095354195372e-02,2.631569851592612560e-06
1.390132658356856010e-01,1.498734662270322815e+01,5.224942375562935393e-01,2.944053379568820137e-04,3.317953857182568754e+05,9.606907257128311298e-03,3.253517776935142875e+08,1.511543201653424256e-06,3.431243053439759216e-01,1.181419582955816998e-02,9.708720537941350917e-05,7.359575636065550652e-01,7.490969503291092235e-02,4.760155739371166692e-06
2.120404030842061027e-01,1.421086779466415706e+01,4.931211614167806401e-01,4.663244999874764456e-04,1.755754640312868287e+05,1.173496875536145581e-02,2.626811770418655872e+09,1.823858367656225098e-06,3.594935290331364719e-01,1.443120196947010603e-02,1.639421159578911130e-04,7.378421205554273055e-01,1.022511935591956800e-01,8.489846025151983119e-06
3.183212963385036454e-01,1.351066538880338186e+01,4.664336198266150202e-01,7.276093192205495630e-04,9.520551217784977052e+04,1.424668105712191025e-02,1.963948314800907516e+10,2.191203325746407946e-06,3.760490787816576086e-01,1.752000674360700005e-02,2.714177154379687762e-04,7.394416841318212086e-01,1.380409072800435899e-01,1.480940980978147380e-05
4.697111610061171505e-01,1.287947828266541528e+01,4.422462824726868802e-01,1.116201530591087168e-03,5.300049014823682228e+04,1.717396771608525538e-02,1.341817306848871460e+11,2.618088730002332688e-06,3.926731266826486988e-01,2.111986847981613125e-02,4.398779327320148647e-04,7.408030155548253060e-01,1.841063922862095081e-01,2.522285851271043259e-05
6.828631580766338915e-01,1.230574644693623476e+01,4.201790985654573207e-01,1.687198177858897094e-03,3.018232429617247180e+04,2.057469166217212528e-02,8.473854298657463379e+11,3.112817769015486784e-06,4.094020597589689836e-01,2.530194472829109739e-02,6.999386810534223092e-04,7.419783329274891592e-01,2.429694192500413685e-01,4.208155337031707031e-05
9.814595353246796661e-01,1.177837761153161900e+01,3.998469591876364082e-01,2.521673173303254009e-03,1.749063429310070569e+04,2.453272436309676327e-02,5.041242847321655273e+12,3.687460227376171239e-06,4.263414459312802607e-01,3.016937731371781284e-02,1.098244257727026092e-03,7.430140757251031403e-01,3.180732861780571907e-01,6.910321242344784245e-05
1.399204507181392998e+00,1.128836770284141267e+01,3.809298679949637556e-01,3.739388395367147615e-03,1.026287582557224414e+04,2.915737223122015151e-02,2.875860933039205078e+13,4.357753523091069683e-06,4.436153444311318750e-01,3.585658695303416826e-02,1.706259048302689006e-03,7.439494275876169516e-01,4.140310338963346659e-01,1.121982158054910162e-04
1.983856635593838513e+00,1.082902455154038712e+01,3.631871065889367700e-01,5.517045892868340830e-03,6.073072024759909254e+03,3.458315762618705685e-02,1.595117535869551875e+14,5.143071073332194817e-06,4.613394606183561786e-01,4.252900394110622345e-02,2.633547287863854253e-03,7.448184537792172932e-01,5.369150418833635863e-01,1.807723440023019281e-04
2.802817633116574836e+00,1.039560049840983780e+01,3.464463242160784051e-01,8.114898323405596303e-03,3.613843341959000554e+03,4.097139561159085508e-02,8.687738277949192500e+14,6.066664729975338253e-06,4.796116946461572716e-01,5.038500718391702299e-02,4.047987576979083721e-03,7.456534231998612761e-01,6.946337910442422769e-01,2.897854890118316024e-04
3.950970899909397982e+00,9.984797291795540986e+00,3.305861157435068809e-01,1.191584364514640046e-02,2.158263633066479088e+03,4.851392288298089772e-02,4.677356246065488000e+15,7.156233791862343549e-06,4.985119742881695681e-01,5.966050988723149012e-02,6.206685788999290361e-03,7.464883736748080256e-01,8.974354463314176966e-01,4.630097278087162466e-04
5.561732475556434352e+00,9.594331680173715071e+00,3.155199851424804192e-01,1.748312001121138382e-02,1.292020447489934895e+03,5.743916729965459211e-02,2.500044737377202800e+16,8.444852808224902646e-06,5.181060572592723901e-01,7.063642362752642345e-02,9.503388208815636423e-03,7.473628579037279174e-01,1.158583187212722798e+00,7.381888562112182183e-04
7.822634677549704207e+00,9.222620146918009354e+00,3.011843458478455915e-01,2.564557845404044981e-02,7.746939006361691327e+02,6.802073518233783811e-02,1.330254272953941280e+17,9.972289349679411497e-06,5.384499449944379901e-01,8.364921867215681373e-02,1.454126291704225561e-02,7.483262407524298165e-01,1.495255098669042493e+00,1.175201284961160421e-03
1.099729783665032734e+01,8.868574926796139124e+00,2.875304998551893587e-01,3.762369446171335424e-02,4.650470552567127243e+02,8.058910695396991064e-02,7.058287686670078720e+17,1.178677612872061177e-05,5.595928351382138954e-01,9.910530681733760450e-02,2.224459455018364812e-02,7.494434367115175855e-01,1.929742100954140449e+00,1.868947144961420831e-03
1.545642311835933747e+01,8.531482560276074878e+00,2.745198679597776747e-01,5.521435286696544514e-02,2.794379461154424575e+02,9.554773880621258986e-02,3.738460994866924032e+18,1.394719706255850196e-05,5.815742094414998453e-01,1.175008425828705100e-01,3.402971441278784814e-02,7.508048165711215249e-01,2.491052110180862034e+00,2.969603042962220933e-03
2.172159239871819381e+01,8.210923785920913431e+00,2.621225636170374518e-01,8.104816383464316654e-02,1.680824077956517328e+02,1.133964226429252792e-01,1.977750502002808013e+19,1.652449890439763557e-05,6.043926959831902312e-01,1.394504503497540349e-01,5.206265665546987165e-02,7.525523941980696296e-01,3.217092985361541757e+00,4.714027859478144011e-03
