r, v_phi_cs, cs, vr_cs, sigma, Mdisk, Ew, Mdot_acc, Qtoomre, Mdisk_Menv, Rcj, dlnJ_dlnx, J, factor3, Menv, j, J_M, M_wind
5.027720031487136745e-04,2.926260738932496253e+01,1.101580043888555238e+00,1.602700366493011903e-06,1.213809249182052135e+09,5.887678467675513906e-04,0.000000000000000000e+00,2.295391215468036184e-07,2.170113643869858444e-01,6.394570830861554282e-04,2.015650750897577250e-07,6.842107400731488598e-01,1.825831453034272404e-03,5.080212235904768402e-09,9.207308236012227143e-01,2.424518923817423340e+12,5.476956804189906346e-03,0.000000000000000000e+00
5.680877763177558451e-04,2.864426796491380145e+01,1.082916731934117083e+00,1.803600624092324173e-06,1.005818199413452983e+09,6.160214952155583555e-04,3.736667379645779163e-03,2.377591096841724435e-07,2.195843460846143014e-01,6.690571005390421808e-04,2.351422949914433131e-07,6.862605983455661862e-01,1.985220514852907483e-03,6.026869855388897898e-09,9.207308236012227143e-01,2.636171426564363281e+12,5.691616164168363835e-03,1.742951494523094632e-14
6.334035494867980157e-04,2.810985317780805559e+01,1.066566116454134461e+00,2.004460510856300058e-06,8.508233377243013382e+08,6.416350069832878547e-04,9.607693229248827002e-03,2.454550461166453883e-07,2.219161628342653791e-01,6.968757757817675052e-04,2.697194841353261561e-07,6.880523973626226919e-01,2.139377236995748145e-03,7.017212488188156961e-09,9.207308236012227143e-01,2.840875913086299316e+12,5.888735341151027543e-03,3.576797705854610727e-14
1.032646999907558790e-03,2.588795901173475755e+01,9.962661460967079385e-01,3.234228865321574241e-06,4.018860096028484702e+08,7.741285710131513799e-04,1.407469675235077378e-01,2.848837569959125536e-07,2.328436731064425780e-01,8.407762086049525409e-04,4.988677528815403460e-07,6.956863352861899497e-01,3.000444451740545693e-03,1.387678066745376521e-08,9.207308236012227143e-01,3.984285811824819824e+12,6.845342944389536111e-03,1.663558779232898099e-13
1.578826896300274422e-03,2.416665049789405728e+01,9.391234386437287140e-01,4.927955405439612632e-06,2.098569051185981631e+08,9.164898018567247230e-04,1.194046972058393052e+00,3.266735858976768694e-07,2.429751417286589166e-01,9.953938527571932170e-04,8.499755020509720941e-07,7.017586288995084631e-01,4.036771578076764171e-03,2.505045710368720831e-08,9.207308236012227143e-01,5.360423091578608398e+12,7.779098217271953816e-03,3.830842223625687309e-13
2.441571717506778403e-03,2.257279739764523185e+01,8.839821741868812977e-01,7.634473240138694701e-06,1.078580010877023041e+08,1.095574980669562467e-03,1.007951480783559717e+01,3.786266930387400223e-07,2.540170924281999754e-01,1.189897147555544913e-03,1.467384402730919006e-06,7.074519454021287457e-01,5.488566046049991355e-03,4.587830655971715524e-08,9.207308236012227143e-01,7.288258848403236328e+12,8.847885726683844820e-03,7.989094972876616345e-13
3.772013078173942855e-03,2.113430781518711399e+01,8.323019776310864870e-01,1.187742452300289019e-05,5.559861563455588371e+07,1.315303386503576411e-03,8.603752323647351830e+01,4.416794208281546827e-07,2.657040392517099892e-01,1.428542797512823235e-03,2.527563148074540905e-06,7.125954431007548440e-01,7.474853115378081274e-03,8.379791007332429194e-08,9.207308236012227143e-01,9.925846551099804688e+12,1.003689638690974904e-02,1.579651338045259450e-12
5.833005100741137268e-03,1.982449846097888368e+01,7.836313335116293910e-01,1.858954841287493455e-05,2.865520424350685254e+07,1.586482179912117709e-03,7.350464524831947983e+02,5.187322963467348999e-07,2.781145970618336682e-01,1.723068392244070466e-03,4.355122015157525206e-06,7.172323368770825436e-01,1.020861619127009547e-02,1.530821395878587013e-07,9.207308236012227143e-01,1.355600655284510352e+13,1.136460626955786840e-02,3.054127095830184526e-12
9.025069533198194077e-03,1.862807974280371326e+01,7.378280748975565295e-01,2.925099234342951160e-05,1.477340917873928696e+07,1.921374066335519324e-03,6.291971316829006355e+03,6.130471173685554946e-07,2.912688482302269177e-01,2.086792379580076646e-03,7.503711547820254321e-06,7.213830203504825178e-01,1.397443762273100146e-02,2.795700787287721921e-07,9.207308236012227143e-01,1.855663533986753906e+13,1.284532601364002033e-02,5.841833880806125087e-12
1.397121819754048103e-02,1.753094039631465861e+01,6.947169983019205741e-01,4.626012191828831179e-05,7.618350758295332082e+06,2.335475902828963984e-03,5.393722147053656954e+04,7.287469141448586612e-07,3.051982979481931424e-01,2.536545799231851132e-03,1.292910688868844298e-05,7.250779882721237746e-01,1.916937405466895977e-02,5.104617441264589018e-07,9.207308236012227143e-01,2.545498385190060156e+13,1.449623622358409657e-02,1.112078657280700238e-11
2.163628682824388430e-02,1.652132001669024319e+01,6.541446268405768372e-01,7.349770928950941442e-05,3.929934831949289888e+06,2.847964768402612944e-03,4.628693821057644091e+05,8.709283983275059140e-07,3.199325012169843552e-01,3.093156757002515043e-03,2.227695120875615515e-05,7.283505199410772457e-01,2.634279002677155854e-02,9.317613005353107715e-07,9.207308236012227143e-01,3.498055246004005469e+13,1.633615607342777179e-02,2.112833225558488842e-11
3.350947430252081138e-02,1.558949429373187456e+01,6.159793182113255661e-01,1.172374463486093073e-04,2.028622436358380830e+06,3.482400923165441305e-03,3.972599327192298602e+06,1.045846893698790287e-06,3.354964560784146621e-01,3.782213904325312532e-03,3.837339684811141328e-05,7.312352674461116697e-01,3.625152583816544649e-02,1.699734718405246558e-06,9.207308236012227143e-01,4.813834829377242188e+13,1.838527955130898200e-02,4.010610036307047829e-11
5.185860138872856739e-02,1.472815806630531199e+01,5.801384335240021839e-01,1.875181817702538129e-04,1.049111876100263093e+06,4.266736145452604094e-03,3.400115863329977542e+07,1.260910947081746171e-06,3.518938173171680672e-01,4.634075493165599156e-03,6.602142145075435144e-05,7.337653665461849606e-01,4.991848454333727009e-02,3.095466252356250861e-06,9.207308236012227143e-01,6.628668282741919531e+13,2.066275953130677218e-02,7.602469280507561341e-11
8.000167867252190590e-02,1.393363506098096494e+01,5.466504895517005913e-01,2.998622124858429092e-04,5.454826491927336901e+05,5.230729771633601567e-03,2.876747973354089856e+08,1.523976654427727873e-06,3.690603518900268387e-01,5.681062952986442108e-03,1.131286883817144697e-04,7.359684395716750149e-01,6.864893292185510199e-02,5.609769789634033438e-06,9.207308236012227143e-01,9.115881791405768750e+13,2.317897477812527404e-02,1.434520684844504599e-10
1.223797943726414178e-01,1.320705952590447119e+01,5.157165422100163932e-01,4.764675911332879395e-04,2.874057610961082391e+05,6.398216806367141435e-03,2.351973315579113007e+09,1.841265463477372763e-06,3.867900401025897716e-01,6.949063333561503186e-03,1.918196360160062740e-04,7.378644347526654990e-01,9.390472271185390518e-02,1.004458114843119753e-05,9.207308236012227143e-01,1.246959443448934375e+14,2.592096696198531447e-02,2.673883741720804494e-10
1.844381347943690741e-01,1.255037503504101615e+01,4.875460767955331898e-01,7.466450816792822524e-04,1.549337786503125972e+05,7.782341773793693095e-03,1.793169345031356430e+10,2.216121157985148270e-06,4.047784985559566562e-01,8.452352820507179343e-03,3.193058612360133658e-04,7.394769177618776279e-01,1.271404105595424772e-01,1.761512754574437890e-05,9.207308236012227143e-01,1.688295657692019688e+14,2.885333552768050772e-02,4.877239773122976575e-10
2.731797885130780035e-01,1.195870380573384750e+01,4.620266566188500623e-01,1.150206552400146647e-03,8.576520849642305984e+04,9.398654550725533963e-03,1.249631308654120636e+11,2.652585389910694316e-06,4.228507027805061269e-01,1.020782003796169221e-02,5.202502592799607703e-04,7.408483918043926586e-01,1.700435741391889410e-01,3.015588817122741305e-05,9.207308236012227143e-01,2.258006141195968438e+14,3.195341306870824044e-02,8.674937517144746383e-10
3.983670651077677038e-01,1.142192134203474652e+01,4.387888912882709769e-01,1.744595634263135112e-03,4.861671955444346531e+04,1.127685101275123503e-02,8.019454965651884766e+11,3.158539217017135242e-06,4.410178330111541034e-01,1.224771749103008983e-02,8.315759093511170636e-04,7.420305481342732712e-01,2.249255200442072111e-01,5.052266046016756947e-05,9.207308236012227143e-01,2.986782700508221875e+14,3.522683350621707427e-02,1.508619056528890475e-09
