r, v_phi_cs, cs, vr_cs, sigma, Mdisk, Ew, Mdot_acc, Qtoomre, Mdisk_Menv, Rcj, dlnJ_dlnx, J, factor3, Menv, j, J_M, M_wind
5.527806440028530015e-04,2.962820596497521564e+01,1.093046422609372126e+00,1.598284323127146846e-06,1.114290595406313419e+09,6.533645850990440042e-04,0.000000000000000000e+00,2.292507316136996657e-07,2.143335427439023444e-01,7.206434140910891956e-04,1.965624940558878712e-07,6.842107388968076132e-01,1.853750646005568846e-03,4.941956183186300656e-09,9.066406107701676653e-01,2.678071709774091309e+12,5.394468787669925297e-03,0.000000000000000000e+00
6.245931055777889174e-04,2.900214118240592498e+01,1.074527689896057847e+00,1.798631024734975268e-06,9.233524631201397181e+08,6.836083708046834448e-04,3.821042989680662263e-03,2.374603921849524260e-07,2.168747750114920492e-01,7.540014893265986834e-04,2.293046734729623189e-07,6.862605970124127097e-01,2.015576960952345734e-03,5.862850875393445299e-09,9.066406107701676653e-01,2.911858533740842773e+12,5.605895180741614012e-03,1.731181980528388321e-14
6.964055671527247249e-04,2.846104956748543202e+01,1.058303737868822703e+00,1.998937466721166602e-06,7.810654299281234741e+08,7.120320720098032062e-04,9.824639213765310602e-03,2.451466594571406627e-07,2.191778181969149808e-01,7.853520607299406195e-04,2.630216646064138989e-07,6.880523958718981481e-01,2.172090927309735728e-03,6.826241710291915514e-09,9.066406107701676653e-01,3.137970727627032227e+12,5.800045562197903015e-03,3.552644898690679262e-14
1.135360102960418808e-03,2.621139567910415380e+01,9.885483609488733281e-01,3.225317342710898948e-06,3.689358939179779887e+08,8.590621821260339356e-04,1.439250959540312180e-01,2.845258319241319361e-07,2.299704879121070022e-01,9.475222838256526633e-04,4.864635637866443526e-07,6.956863328100352240e-01,3.046324906894045965e-03,1.349912934970590720e-08,9.066406107701676653e-01,4.400956822058272461e+12,6.742245778756390112e-03,1.652325371286641831e-13
1.735866283479442366e-03,2.446858151581413665e+01,9.318483182411455568e-01,4.914377139451393269e-06,1.926510006900107861e+08,1.017042599897329848e-03,1.221009177229073872e+00,3.262631580702688263e-07,2.399769393406039897e-01,1.121770399225089417e-03,8.288144468156823546e-07,7.017586253973189248e-01,4.098498801500856034e-03,2.436871927388631790e-08,9.066406107701676653e-01,5.921008694720363281e+12,7.661937901755961310e-03,3.804974098279538478e-13
2.684424729080306035e-03,2.285481529596588501e+01,8.771342188019425334e-01,7.613437443917690115e-06,9.901486063871665299e+07,1.215776120527047987e-03,1.030711550890947237e+01,3.781509885462315550e-07,2.508826369824864178e-01,1.340968081602122086e-03,1.430799351543817813e-06,7.074519395448477521e-01,5.572492933481202129e-03,4.462974669369669871e-08,9.066406107701676653e-01,8.050454741703817383e+12,8.714628477558807040e-03,7.935147620285786831e-13
4.147199427027523436e-03,2.139835370166812822e+01,8.258543774592388420e-01,1.184469738344669447e-05,5.104015824481033534e+07,1.459612023282460484e-03,8.798028496129836640e+01,4.411244882652773750e-07,2.624253711224609487e-01,1.609912468009300820e-03,2.464443655413597011e-06,7.125954335007074203e-01,7.589152545804662801e-03,8.151737971571748207e-08,9.066406107701676653e-01,1.096387735743960352e+13,9.885731481744902682e-03,1.568984455177641714e-12
6.413188858544954969e-03,2.007218026119541321e+01,7.775607840086383726e-01,1.853832408242137172e-05,2.630580671774795651e+07,1.760543105302344149e-03,7.516437790979133524e+02,5.180805214197075004e-07,2.746827842729777647e-01,1.941831288372146240e-03,4.246166294872800557e-06,7.172323208084946389e-01,1.036471709661185986e-02,1.489160378449301980e-07,9.066406107701676653e-01,1.497367280548728906e+13,1.119344447553240196e-02,3.033502934027148870e-12
9.922749373841669232e-03,1.886081494659391922e+01,7.321123963645312926e-01,2.917037520442137231e-05,1.356216899668589234e+07,2.132177173360824685e-03,6.434033839662306491e+03,6.122767110161964954e-07,2.876747027751229147e-01,2.351733584434956541e-03,7.315599857817830327e-06,7.213829921321655014e-01,1.418811703907964759e-02,2.719614557318415936e-07,9.066406107701676653e-01,2.049725238893257812e+13,1.265186159596735568e-02,5.802380473151844688e-12
1.536084077200706999e-02,1.774997217215518930e+01,6.893354483862418336e-01,4.613254183806780623e-05,6.993756708284599707e+06,2.591709992404975238e-03,5.515472428027154092e+04,7.278305741541021773e-07,3.014322117422251757e-01,2.858585818479259053e-03,1.260422097653881992e-05,7.250779344591218312e-01,1.946246307967745837e-02,4.965681269377487304e-07,9.066406107701676653e-01,2.811698104516823047e+13,1.427790073032371952e-02,1.104565254250566222e-11
