r, v_phi_cs, cs, vr_cs, sigma, Mdisk, Ew, Mdot_acc, Qtoomre, Mdisk_Menv, Rcj, dlnJ_dlnx, J, factor3, Menv, j, J_M, M_wind
4.352098846672739938e-04,2.871496774152581821e+01,1.114695861017461320e+00,1.609442999478041060e-06,1.382592064823669672e+09,5.025080594458338152e-04,0.000000000000000000e+00,2.299808052383678899e-07,2.211501130909755974e-01,5.348360793907437757e-04,2.094251987178457465e-07,6.842107418755059012e-01,1.784155620971875425e-03,5.298031006611177832e-09,9.395552746147262102e-01,2.083957625788889648e+12,5.604892242837396232e-03,0.000000000000000000e+00
4.917485740288351755e-04,2.810820033268112184e+01,1.095810336849078137e+00,1.811188453684462398e-06,1.145679407771148920e+09,5.257688034110554820e-04,3.611789074794145068e-03,2.382166105630614820e-07,2.237721656119154301e-01,5.595932646183611253e-04,2.443146247473783963e-07,6.862606003881357442e-01,1.939906520597440296e-03,6.285277439545159648e-09,9.395552746147262102e-01,2.265880251361971680e+12,5.824565798251930999e-03,1.761029795499262670e-14
5.482872633903962487e-04,2.758378694017398303e+01,1.079265044968525267e+00,2.012893367249352105e-06,9.691321738458226919e+08,5.476297054991790397e-04,9.286606996151410692e-03,2.459273558012615828e-07,2.261484537894101476e-01,5.828605514707369548e-04,2.802435839164584153e-07,6.880523996465793823e-01,2.090544512295539926e-03,7.318081920124282124e-09,9.395552746147262102e-01,2.441830817468854004e+12,6.026289451986802798e-03,3.613897089703743942e-14
8.938806842002865963e-04,2.540347478649106350e+01,1.008128057398856026e+00,3.247835417869129598e-06,4.577691340337240100e+08,6.607117725030394254e-04,1.360432466897447401e-01,2.854319372526669314e-07,2.372843689732884731e-01,7.032175651123567708e-04,5.183598127465530258e-07,6.956863390796206303e-01,2.931957294883833724e-03,1.447176037320902803e-08,9.395552746147262102e-01,3.424631064319498535e+12,7.005242304750734263e-03,1.680813606411074437e-13
1.366665292382277007e-03,2.371438014780955328e+01,9.503049930357104769e-01,4.948687366180613535e-06,2.390379789362592101e+08,7.822157940257026690e-04,1.154142140259950322e+00,3.273021766675803135e-07,2.476090598156174549e-01,8.325383457045226971e-04,8.832310219455605075e-07,7.017586342536608068e-01,3.944629465000577817e-03,2.612451701392679220e-08,9.395552746147262102e-01,4.607468405710941406e+12,7.960808926020327900e-03,3.870576374566315001e-13
2.113475138831227406e-03,2.215035543253211969e+01,8.945071939840664177e-01,7.666591716673525468e-06,1.228558951138487309e+08,9.350633953345161833e-04,9.742659249939224608e+00,3.793552581698441687e-07,2.588615985239823836e-01,9.952191431397668445e-04,1.524885056058136745e-06,7.074519543530665144e-01,5.363285810878244513e-03,4.784537956958909969e-08,9.395552746147262102e-01,6.264509795830894531e+12,9.054562098766765973e-03,8.071959580973049621e-13
3.265132949016542451e-03,2.073878660869033652e+01,8.422116686737550761e-01,1.192739386714018588e-05,6.332972205999366194e+07,1.122599649018090956e-03,8.316217876467659664e+01,4.425293270657883872e-07,2.707714354112329413e-01,1.194820229686245801e-03,2.626778853904079599e-06,7.125954577418225355e-01,7.304234829456118100e-03,8.739082500483436639e-08,9.395552746147262102e-01,8.531607722148266602e+12,1.027134676871992690e-02,1.596035953634140693e-12
5.049171434886564995e-03,1.945348948937399314e+01,7.929615147388809904e-01,1.866775990179539140e-05,3.263976291590648517e+07,1.354048449288407533e-03,7.104818771169713045e+02,5.197305186638757661e-07,2.834186880197736014e-01,1.441158903443598037e-03,4.526407581566760602e-06,7.172323612897041345e-01,9.975599431178587551e-03,1.596457206128786455e-07,9.395552746147262102e-01,1.165185719343011914e+13,1.163007094828836553e-02,3.085806302771388307e-12
7.812294607581011553e-03,1.827945981079852800e+01,7.466128383825915149e-01,2.937408066239479364e-05,1.682766180454416573e+07,1.639876237629878629e-03,6.081712876267812135e+03,6.142270170970595404e-07,2.968238338192474290e-01,1.745374946995349383e-03,7.799476648348690881e-06,7.213830629356460244e-01,1.365547099427769431e-02,2.915572501660826486e-07,9.395552746147262102e-01,1.595007889320916016e+13,1.314538099094714543e-02,5.902434897256673598e-12
1.209381736824040321e-02,1.720284765630259116e+01,7.029882334498824825e-01,4.645490677284023139e-05,8.677655421120697632e+06,1.993310905339377125e-03,5.213522521901209257e+04,7.301502636680715196e-07,3.110190249942815788e-01,2.121547246016743105e-03,1.343999924571988121e-05,7.250780686809055187e-01,1.873186701009676644e-02,5.323506910449958105e-07,9.395552746147262102e-01,2.187949113973048047e+13,1.483486469130443526e-02,1.123619111433609968e-11
1.872904905556451588e-02,1.621210364020504002e+01,6.619320045860265234e-01,7.380788397059853581e-05,4.476318338050573133e+06,2.430726344910790707e-03,4.474183669644925976e+05,8.726088567596864424e-07,3.260345538524596631e-01,2.587103080132814766e-03,2.315988163176765826e-05,7.283506891872066902e-01,2.574173048919054657e-02,9.717276995934687089e-07,9.395552746147262102e-01,3.006726258818688281e+13,1.671780431660826322e-02,2.134787230356289198e-11
2.900776218491753905e-02,1.529765636350043323e+01,6.233096733053303806e-01,1.177361816541476963e-04,2.310555056943314150e+06,2.972258654726353620e-03,3.840388992713261396e+06,1.047879037406308825e-06,3.418965293881009448e-01,3.163473970113314746e-03,3.990051209314061166e-05,7.312356654678359158e-01,3.542519542413834904e-02,1.772718236466414101e-06,9.395552746147262102e-01,4.137789623361477344e+13,1.881495659978160359e-02,4.052472648207048937e-11
4.489655224570242992e-02,1.445225155820485874e+01,5.870338297939549088e-01,1.883372994982123187e-04,1.194725716606750619e+06,3.641875656376449433e-03,3.288136139920929447e+07,1.263419171822043176e-06,3.586108229865061503e-01,3.876169667473620267e-03,6.866679816640816646e-05,7.337663704938228726e-01,4.878439168781784768e-02,3.228844162943075693e-06,9.395552746147262102e-01,5.698191563688867188e+13,2.114624924122876157e-02,7.683023474777166205e-11
6.928284676530704900e-02,1.367208187698057564e+01,5.531244100966352661e-01,3.012736839271221980e-04,6.209045744871884817e+05,4.465350083667646471e-03,2.785187629310277104e+08,1.527219277338531022e-06,3.761178693879035917e-01,4.752620951969757299e-03,1.177241674445024094e-04,7.359709225290385071e-01,6.710462598502307807e-02,5.853965147574664500e-06,9.395552746147262102e-01,7.838060503434332812e+13,2.372326790438410854e-02,1.450387457575590080e-10
1.060560758904176004e-01,1.295804228670232305e+01,5.217749209872531990e-01,4.790721580983502582e-04,3.268052289791456424e+05,5.463809891809886382e-03,2.283822037817654133e+09,1.845761039536660583e-06,3.942166858501203186e-01,5.815315010657968152e-03,1.998151933357765844e-04,7.378696917537994615e-01,9.183905546043324986e-02,1.049171225942031931e-05,9.395552746147262102e-01,1.072713039839900781e+14,2.653440752385125695e-02,2.706217130940407083e-10
