r, v_phi_cs, cs, vr_cs, sigma, Mdisk, Ew, Mdot_acc, Qtoomre, Mdisk_Menv, Rcj, dlnJ_dlnx, J, factor3, Menv, j, J_M, M_wind
6.838312369890446867e-04,3.046539001475203534e+01,1.074141683211051967e+00,1.588418155995644675e-06,9.197103159917364120e+08,8.252782479345421819e-04,0.000000000000000000e+00,2.286089329458566227e-07,2.084436908374525110e-01,9.495068402699582402e-04,1.857881913788908079e-07,6.842107362803939719e-01,1.917970397137387824e-03,4.645226756077109734e-09,8.691651422962933804e-01,3.347670148682729004e+12,5.213844809557653150e-03,0.000000000000000000e+00
7.726686537179442609e-04,2.982163493718920577e+01,1.055943240419743079e+00,1.787528122474363633e-06,7.621142892376137972e+08,8.634797952232179004e-04,4.017278367638354650e-03,2.367956099892844374e-07,2.109150904330203968e-01,9.934588413681028074e-04,2.167322036598439135e-07,6.862605940471196986e-01,2.085402883758141410e-03,5.510828254744441171e-09,8.691651422962933804e-01,3.639910705792780273e+12,5.418191976160963846e-03,1.705087987566074113e-14
8.615060704468436182e-04,2.926525405653521972e+01,1.039999889031221203e+00,1.986598077801833867e-06,6.446737821122651100e+08,8.993823562871617770e-04,1.032919825930616459e-02,2.444603589859619495e-07,2.131548463446317210e-01,1.034765791355870363e-03,2.485969050562986656e-07,6.880523925560615428e-01,2.247338985218006336e-03,6.416374305049285374e-09,8.691651422962933804e-01,3.922557744381257324e+12,5.605841587116188428e-03,3.499096113218689904e-14
1.404525847428565472e-03,2.695203318952334470e+01,9.714509632463379507e-01,3.205407535581471773e-06,3.045113618494078517e+08,1.085099107468440139e-03,1.513165825882922255e-01,2.837292859751444180e-07,2.236509351025728065e-01,1.248438363049925561e-03,4.597521266493249821e-07,6.956863273018548677e-01,3.151859168095832303e-03,1.268860237955588637e-08,8.691651422962933804e-01,5.501328313322544922e+12,6.516493954120939312e-03,1.627419970152423163e-13
2.147397271187031272e-03,2.515997325066448553e+01,9.157315669074409525e-01,4.884041048752503211e-06,1.590097756484541595e+08,1.284647440655382932e-03,1.283716141787779152e+00,3.253497694369158408e-07,2.333824119254818974e-01,1.478024575699624782e-03,7.832505449239111833e-07,7.017586175847108088e-01,4.240483809655002517e-03,2.290555225067005317e-08,8.691651422962933804e-01,7.401439087246558594e+12,7.405391994826479758e-03,3.747622291977882113e-13
3.320835366193335917e-03,2.350060799265733280e+01,8.619637767122423355e-01,7.566439985246407583e-06,8.172462845871557295e+07,1.535671806057264726e-03,1.083645451508581026e+01,3.770923293901332393e-07,2.439884217929149945e-01,1.766835473866441766e-03,1.352034019062392008e-06,7.074519264702465726e-01,5.765541615410435181e-03,4.195004847577969408e-08,8.691651422962933804e-01,1.006331045865195117e+13,8.422835116372998088e-03,7.815541794376767900e-13
5.130397280457110742e-03,2.200299232277486183e+01,8.115708527884087919e-01,1.177157943507823294e-05,4.212739827042297274e+07,1.843665851618572077e-03,9.249863143865609061e+01,4.398895092869099869e-07,2.552139608784377289e-01,2.121191660709832033e-03,2.328569588076336131e-06,7.125954120110717938e-01,7.852064115986920334e-03,7.662283368259132116e-08,8.691651422962933804e-01,1.370517536968498242e+13,9.554725713124781472e-03,1.545335061029786763e-12
7.933593913530457079e-03,2.063934685897922705e+01,7.641125512978597101e-01,1.842387980113939177e-05,2.171223115307077393e+07,2.223777704728476662e-03,7.902446444176850946e+02,5.166300183331901510e-07,2.671345327174587392e-01,2.558521501280367275e-03,4.011658392203244610e-06,7.172322846480406744e-01,1.072378016186272681e-02,1.399746164131324496e-07,8.691651422962933804e-01,1.871753536054828516e+13,1.081865145885555109e-02,2.987777290875163135e-12
1.227516821468712868e-02,1.939375564360626569e+01,7.194503259964910580e-01,2.899025938477110673e-05,1.119393386658524722e+07,2.693194733978380995e-03,6.764429626762846965e+03,6.105621735385143554e-07,2.797693993047704608e-01,3.098599567468947758e-03,6.910791349978219539e-06,7.213829280473678107e-01,1.467962080797422832e-02,2.556315677154089374e-07,8.691651422962933804e-01,2.562215164852567578e+13,1.222823227812275433e-02,5.714907950633953926e-12
1.900240537212089659e-02,1.825153439725626825e+01,6.774136078633056224e-01,4.584748520432556677e-05,5.772538888042625971e+06,3.273633168272525439e-03,5.798618757958892093e+04,7.257911565443054901e-07,2.931487173368155230e-01,3.766411017846091683e-03,1.190521189376738962e-05,7.250778106167332648e-01,2.013661785891449410e-02,4.667490639628976937e-07,8.691651422962933804e-01,3.514692124671558203e+13,1.379981025424112905e-02,1.087906729131787520e-11
