r, v_phi_cs, cs, vr_cs, sigma, Mdisk, Ew, Mdot_acc, Qtoomre, Mdisk_Menv, Rcj, dlnJ_dlnx, J, factor3, Menv, j, J_M, M_wind
6.022908205048148160e-04,2.996291328536833731e+01,1.085384187691495361e+00,1.594299419763031458e-06,1.031317006585080743e+09,7.178870810232894839e-04,0.000000000000000000e+00,2.289910944252916552e-07,2.119392825465712393e-01,8.042907137550426308e-04,1.921447637832720044e-07,6.842107378380988258e-01,1.879378046177917734e-03,4.820114714208067444e-09,8.925716395153251437e-01,2.930212953505734863e+12,5.320909233954793441e-03,0.000000000000000000e+00
6.805352143242989925e-04,2.932977589883944702e+01,1.066995270923582373e+00,1.794146609260613287e-06,8.545967290604779720e+08,7.511175673392365016e-04,3.898994284269618506e-03,2.371914570984834484e-07,2.144521274132659416e-01,8.415207632488754582e-04,2.241496007048940262e-07,6.862605958125495009e-01,2.043441548323304303e-03,5.718305207575030532e-09,8.925716395153251437e-01,3.186010875675576660e+12,5.529452594868239541e-03,1.720609363953400688e-14
7.587796081437829521e-04,2.878257161471999837e+01,1.050885048472868677e+00,1.993953639492586878e-06,7.229048365573744774e+08,7.823482281507166194e-04,1.002506704286845220e-02,2.448690192347938636e-07,2.167294439414989282e-01,8.765102917403236804e-04,2.571070477776595054e-07,6.880523945302031708e-01,2.202119260628471274e-03,6.657944122811248602e-09,8.925716395153251437e-01,3.433411599002552734e+12,5.720955521764192406e-03,3.530948304469851378e-14
1.237049406463923765e-03,2.650750356196653712e+01,9.816186553886876442e-01,3.217275855453155288e-06,3.414637643932179809e+08,9.438981770153746700e-04,1.468612432357422060e-01,2.842035923163346424e-07,2.274015517148557652e-01,1.057504109729411014e-03,4.755105432383880117e-07,6.956863305813479892e-01,3.088439189485061437e-03,1.316631504977065648e-08,8.925716395153251437e-01,4.815308201321380859e+12,6.650307800062895541e-03,1.642234341627513511e-13
1.891340372891776303e-03,2.474500087009452187e+01,9.253160760657580530e-01,4.902124522071837556e-06,1.783055938998292685e+08,1.117479830661060550e-03,1.245918493696879681e+00,3.258936502353815828e-07,2.372962243257058235e-01,1.251977747430853575e-03,8.101301922698182398e-07,7.017586222399627705e-01,4.155159043749774919e-03,2.376792139046749740e-08,8.925716395153251437e-01,6.478473492139249023e+12,7.557458959672048830e-03,3.781736620528674664e-13
2.924857086945679713e-03,2.311300409157514224e+01,8.709855229456064940e-01,7.594455373416300271e-06,9.164190046055072546e+07,1.335839109556219038e-03,1.051738678878895428e+01,3.777227121265331841e-07,2.480800970912118431e-01,1.496618366993592106e-03,1.398498724692239224e-06,7.074519342623906137e-01,5.649530541118485787e-03,4.352942322926544637e-08,8.925716395153251437e-01,8.808407444408595703e+12,8.595794924973877357e-03,7.886686416527949673e-13
4.518646060131549340e-03,2.164008903715751941e+01,8.200651558617699788e-01,1.181516537529988465e-05,4.723954856456343085e+07,1.603754797612309086e-03,8.977512489723525846e+01,4.406248825722746352e-07,2.594938895630736764e-01,1.796779918397545164e-03,2.408720476249661762e-06,7.125954248287791337e-01,7.694069502523610826e-03,7.950760727595619079e-08,8.925716395153251437e-01,1.199612934040508984e+13,9.750928584411188565e-03,1.559402331830661738e-12
6.987589448678151703e-03,2.029893421510795193e+01,7.721101121914847321e-01,1.849210063965777936e-05,2.434699855719861016e+07,1.934403955816238561e-03,7.669773640126531973e+02,5.174937272819758162e-07,2.716143747983076340e-01,2.167225430629454459e-03,4.149986648761128483e-06,7.172323062490832957e-01,1.050800411872631832e-02,1.452445594423400501e-07,8.925716395153251437e-01,1.638344655924993555e+13,1.104080912681246196e-02,3.014976103616227967e-12
1.081148065784585076e-02,1.907388528671100403e+01,7.269803607540181734e-01,2.909762784829653532e-05,1.255229828050094470e+07,2.342737903076545954e-03,6.565278863366480437e+03,6.115831071847230848e-07,2.844611499360817919e-01,2.624705737176093786e-03,7.149562851388147068e-06,7.213829664289159727e-01,1.438425581779630494e-02,2.652561678077919754e-07,8.925716395153251437e-01,2.242706453316566406e+13,1.247933758885665968e-02,5.766939028320995565e-12
1.673660724815397016e-02,1.795049718515423720e+01,6.845034290005752586e-01,4.601741240003344441e-05,6.473001305492918007e+06,2.847649169908855055e-03,5.627949834022035793e+04,7.270055605265470572e-07,2.980649234507466994e-01,3.190387240463023882e-03,1.231749241394923141e-05,7.250778850638553985e-01,1.973149139191336665e-02,4.843240069816936214e-07,8.925716395153251437e-01,3.076415188852214844e+13,1.408319745202371229e-02,1.097815765041616878e-11
2.591854414602709489e-02,1.691674095725102944e+01,6.445286152884391884e-01,7.311114547073362916e-05,3.339166121195085347e+06,3.472507937209751323e-03,4.829506985689581488e+05,8.688428100836633688e-07,3.124543328344439597e-01,3.890452915460495577e-03,2.122019107124439107e-05,7.283502991911141589e-01,2.711501715782814459e-02,8.840365914162692487e-07,8.925716395153251437e-01,4.227610015557062500e+13,1.587064128582598918e-02,2.085697432439754454e-11
4.013996250374606001e-02,1.596270074476477063e+01,6.069278892336282816e-01,1.166154808324224425e-04,1.723779948543347884e+06,4.245987717066783233e-03,4.144361834349270910e+06,1.043323235757112072e-06,3.276529666721531009e-01,4.757027367990758135e-03,3.654604475627872608e-05,7.312347409467974124e-01,3.731305483064350365e-02,1.612580237347545259e-06,8.925716395153251437e-01,5.817626571831878906e+13,1.786117032709023944e-02,3.958848991701951234e-11
6.211099413622601928e-02,1.508101693554647227e+01,5.716247841986550338e-01,1.864946861852243845e-04,8.916519027835478773e+05,5.201956006616394700e-03,3.545401018984442204e+07,1.257789961918491564e-06,3.436616243725036379e-01,5.828054327875694524e-03,6.285655115347868699e-05,7.337640284750120978e-01,5.137484636104182323e-02,2.936173894137835028e-06,8.925716395153251437e-01,8.010056337395378125e+13,2.007297299255173320e-02,7.502766205154054410e-11
9.577833432504580247e-02,1.426819818085647107e+01,5.386587686318369261e-01,2.980912306745193106e-04,4.639005202004926396e+05,6.375993300723699353e-03,2.995058837979361415e+08,1.519923970833454767e-06,3.604101435326061420e-01,7.143396696074641276e-03,1.076315520285077985e-04,7.359651387278549617e-01,7.063021436731661828e-02,5.318080876020283514e-06,8.925716395153251437e-01,1.101223723821265156e+14,2.251492535531293693e-02,1.414838656136058231e-10
