r, v_phi_cs, cs, vr_cs, sigma, Mdisk, Ew, Mdot_acc, Qtoomre, Mdisk_Menv, Rcj, dlnJ_dlnx, J, factor3, Menv, j, J_M, M_wind
1.298613231636291531e-04,2.452817433250868717e+01,1.231131568159814726e+00,1.666806478728431040e-06,4.124040559595804214e+09,1.334547528412854327e-04,0.000000000000000000e+00,2.341311453355885150e-07,2.588989441258006119e-01,1.308001643501905558e-04,2.883849411585588724e-07,6.842107575152215349e-01,1.471567014259548634e-03,7.519869299236787116e-09,1.020294993544409889e+00,5.866443972826225586e+11,6.795477136344838485e-03,0.000000000000000000e+00
1.467317786734845123e-04,2.400987684700962888e+01,1.210273354432242154e+00,1.875742509210314293e-06,3.417369797235354900e+09,1.396322798647520809e-04,2.711686391439384423e-03,2.425155789065615000e-07,2.619685633809948344e-01,1.368548123319536579e-04,3.364685642007361413e-07,6.862606181099445424e-01,1.600029962796547340e-03,8.921137801868111509e-09,1.020294993544409889e+00,6.378565189783214111e+11,7.061813485982968396e-03,1.922885668215014259e-14
1.636022341833398444e-04,2.356192572722849476e+01,1.191999822254262487e+00,2.084636554429532265e-06,2.890758977248436928e+09,1.454380406589195760e-04,6.972269206990294385e-03,2.503654769942809812e-07,2.647504679808277972e-01,1.425450889979194651e-04,3.859916434184760006e-07,6.880524194612288591e-01,1.724275798421596789e-03,1.038707004684215427e-08,1.020294993544409889e+00,6.873874765554102783e+11,7.306387035089977056e-03,3.946049605740910832e-14
2.667230992423524146e-04,2.169951475594494994e+01,1.113432211992425147e+00,3.363594230572402317e-06,1.365448679706509590e+09,1.754700802252362295e-04,1.021395783979843902e-01,2.905829857965089943e-07,2.777872093843055668e-01,1.719797522632836762e-04,7.143362817199667672e-07,6.956863719803644264e-01,2.418270965856842130e-03,2.054079046146174409e-08,1.020294993544409889e+00,9.640506341092358398e+11,8.493287857220168519e-03,1.835296880990987336e-13
4.077961173110972886e-04,2.025670043399646758e+01,1.049569286429374193e+00,5.125065873789264074e-06,7.130106779902608395e+08,2.077387733385589708e-04,8.665145675329338770e-01,3.332088107002286661e-07,2.898742455348725100e-01,2.036065791295258581e-04,1.217783174875664529e-06,7.017586802118760403e-01,3.253519654131880896e-03,3.708035064423149249e-08,1.020294993544409889e+00,1.297024911574107178e+12,9.651833651407964315e-03,4.226317659268942128e-13
6.306350804207721964e-04,1.892071864186447527e+01,9.879431024336225997e-01,7.939841524918863936e-06,3.664587145007542968e+08,2.483316568501417877e-04,7.314657837621119540e+00,3.862013058918130113e-07,3.030475215434605407e-01,2.433920174276859932e-04,2.103734840853841861e-06,7.074520310918475108e-01,4.423624103788988821e-03,6.791029739898524407e-08,1.020294993544409889e+00,1.763490395629689941e+12,1.097792062233377518e-02,8.813849122179270037e-13
9.742759250806550149e-04,1.771496378583441711e+01,9.301850096450132721e-01,1.235250928584675894e-05,1.889019695775671601e+08,2.981370979824974634e-04,6.243710657987183055e+01,4.505155372248251993e-07,3.169902977667119481e-01,2.922067636015706878e-04,3.626324133207565099e-06,7.125955821688861880e-01,6.024515212293609159e-03,1.240399558598645301e-07,1.020294993544409889e+00,2.401690212806455566e+12,1.245317359332613442e-02,1.742727613374730595e-12
1.506612889638624759e-03,1.661706807550460496e+01,8.757903049291330122e-01,1.933313685918023464e-05,9.735880871362696588e+07,3.596048839987486269e-04,5.334225590999554925e+02,5.291102553834235220e-07,3.317963912491626033e-01,3.524518754615414673e-04,6.253493908144438451e-06,7.172325652205526758e-01,8.227857093905246305e-03,2.265967281389377225e-07,1.020294993544409889e+00,3.280058753022755371e+12,1.410051955025001455e-02,3.369428366175336709e-12
2.331105256287302127e-03,1.561421095067824361e+01,8.245998444727853371e-01,3.042119114670585042e-05,5.019373575749824941e+07,4.355151869473149217e-04,4.566146179921451221e+03,6.253132885460246437e-07,3.474898575095001219e-01,4.268522238204616476e-04,1.078457540411933273e-05,7.213834077494282182e-01,1.126304200366833042e-02,4.138304862145166624e-07,1.020294993544409889e+00,4.490043894559249023e+12,1.593772600320064042e-02,6.444976953522576634e-12
3.608718146913914536e-03,1.469454811782222237e+01,7.764169309885086134e-01,4.811164544548533534e-05,2.588324696298222244e+07,5.293833368118588088e-04,3.914493602620357706e+04,7.433335211608912485e-07,3.641086556400933150e-01,5.188532141795878030e-04,1.860191979702404839e-05,7.250786888489015869e-01,1.545022204124431135e-02,7.556226958377360936e-07,1.020294993544409889e+00,6.159275187225574219e+12,1.798615843557425584e-02,1.226926970257605865e-11
