r, v_phi_cs, cs, vr_cs, sigma, Mdisk, Ew, Mdot_acc, Qtoomre, Mdisk_Menv, Rcj, dlnJ_dlnx, J, factor3, Menv, j, J_M, M_wind
2.962278124229898659e-04,2.730914997868811156e+01,1.150470715430320201e+00,1.627496555212558238e-06,1.957064047074522972e+09,3.295400260458188958e-04,0.000000000000000000e+00,2.312561586286448847e-07,2.325344579002167622e-01,3.371761175809372406e-04,2.318529564662899211e-07,6.842107467386120412e-01,1.677985117155680883e-03,5.923239235410918424e-09,9.773528101874375817e-01,1.392306960885481689e+12,5.959528423560037265e-03,0.000000000000000000e+00
3.347111577028932393e-04,2.673208849963227962e+01,1.130979082665050539e+00,1.831505042855773091e-06,1.621713329677958250e+09,3.447942020628487047e-04,3.297564864316089844e-03,2.395376357633743983e-07,2.352914882164493793e-01,3.527837629041285020e-04,2.704877869485131037e-07,6.862606058990888824e-01,1.824467683167042440e-03,7.026988299902137321e-09,9.773528101874375817e-01,1.513850766143835205e+12,6.193101294949546025e-03,1.810745342421297378e-14
3.731945029827966128e-04,2.623334917605414418e+01,1.113902789189694431e+00,2.035472535199663280e-06,1.371810085526332140e+09,3.591303750732554255e-04,8.478675881083879221e-03,2.472911411272544143e-07,2.377901027558477487e-01,3.674521332827406297e-04,3.102752841262984244e-07,6.880524058086190387e-01,1.966141597413575883e-03,8.181671608147813023e-09,9.773528101874375817e-01,1.631404596010754395e+12,6.407588527196392963e-03,3.715920845216273956e-14
6.084244169008755712e-04,2.415978008122651133e+01,1.040482743820460021e+00,3.284267276815206881e-06,6.479738612660788298e+08,4.332885276263545430e-04,1.242075390334426432e-01,2.870147972436389797e-07,2.494992717351958711e-01,4.433286763080551262e-04,5.739940637868824789e-07,6.956863493128626619e-01,2.757484090095557467e-03,1.617953883817839066e-08,9.773528101874375817e-01,2.288020468071179199e+12,7.448482260636909817e-03,1.728264590393121517e-13
9.302275587824887547e-04,2.255338004349558290e+01,9.808039311778616876e-01,5.004197635968607037e-06,3.383591790913301706e+08,5.129696989852341148e-04,1.053731872320821994e+00,3.291172203895011117e-07,2.603554535048018259e-01,5.248562173641843544e-04,9.781681332155602837e-07,7.017586486347052732e-01,3.709894503285443741e-03,2.920740543971384277e-08,9.773528101874375817e-01,3.078282332939118652e+12,8.464509765205831260e-03,3.979845724913018613e-13
1.438547483776088723e-03,2.106592626862451922e+01,9.232153612096227757e-01,7.752589594568410196e-06,1.739029815976671576e+08,6.132057289941341771e-04,8.895048516103400971e+00,3.814589742901189618e-07,2.721872509142551078e-01,6.274149136344459509e-04,1.689074869768498862e-06,7.074519783779397164e-01,5.044130403947406742e-03,5.349149525537865481e-08,9.773528101874375817e-01,4.185363625235592285e+12,9.627467575059021898e-03,8.299838113248979959e-13
2.222429415361520076e-03,1.972346441468808109e+01,8.692414601778409855e-01,1.206118757379387438e-05,8.964344648086038232e+07,7.361902849166129369e-04,7.592710341794615658e+01,4.449834071746053888e-07,2.847101850545872836e-01,7.532492639740051956e-04,2.910157587672462093e-06,7.125954968841357040e-01,6.869579158703056562e-03,9.770361470027113709e-08,9.773528101874375817e-01,5.700028434834270508e+12,1.092124155496208143e-02,1.641093768340898585e-12
3.436745779558591021e-03,1.850109161876116914e+01,8.184106353385602883e-01,1.887717111249542163e-05,4.620167223924509436e+07,8.879724319230032246e-04,6.486711276104991839e+02,5.226128340034227039e-07,2.980085060240270645e-01,9.085485023087078822e-04,5.015775326763114823e-06,7.172324260587401579e-01,9.381980985378859939e-03,1.784852425125160824e-07,9.773528101874375817e-01,7.784692068652172852e+12,1.236593695971019771e-02,3.172924035706255290e-12
5.317488775563856615e-03,1.738453642293822554e+01,7.705742937181647711e-01,2.970364230347132505e-05,2.381954557364738360e+07,1.075416467643687275e-03,5.552642011047780215e+03,6.176338185690824590e-07,3.121037747022784026e-01,1.100335985566402606e-03,8.644765527794281222e-06,7.213831743893810433e-01,1.284288918174136124e-02,3.259641130602974492e-07,9.773528101874375817e-01,1.065637819001010156e+13,1.397713034648938313e-02,6.069085349896079058e-12
8.231781808197401878e-03,1.636062095627116619e+01,7.255490573876944849e-01,4.697639065601605265e-05,1.228311139238987118e+07,1.307199337992215804e-03,4.760067145507445821e+04,7.342018245662367035e-07,3.270299104954101366e-01,1.337489721589402245e-03,1.490065662116083164e-05,7.250782748076085582e-01,1.761728328637882091e-02,5.951783648499039731e-07,9.773528101874375817e-01,1.461792831219786914e+13,1.577353672267825524e-02,1.155353450517316465e-11
