M_env,M_disk,M_disk/M_env,Age(yrs)
0.4636867,0.0001507,0.00032500393045562876,22457.0
0.4304471,0.0004227,0.000982002201896586,17381.0
0.2440356,0.0005232,0.002143949489336802,97392.0
0.2031727,0.0016298,0.008021747016208378,75496.0
0.4210456,0.0208172,0.04944167567598379,57274.0
0.1187219,0.0002161,0.0018202201952630475,84577.0
0.5500089,0.0016154,0.002937043382388903,6594.0
0.1424319,0.0011743,0.008244641825321435,83596.0
0.2562803,0.0010456,0.004079907819680249,76365.0
0.098369,0.0313021,0.31821102176498695,79516.0
