r, v_phi_cs, cs, vr_cs, sigma, Mdisk, Ew, Mdot_acc, Qtoomre, Mdisk_Menv, Rcj, dlnJ_dlnx, J, factor3, Menv, j, J_M, M_wind
3.139436351469424859e-04,2.751676800760028740e+01,1.144995126692460063e+00,1.624759690263796327e-06,1.857008136506612301e+09,3.512114306210711184e-04,0.000000000000000000e+00,2.310601517243888474e-07,2.307799513670560076e-01,3.611006144063071306e-04,2.283190671354713785e-07,6.842107459978912232e-01,1.693590022727155470e-03,5.824382014291709729e-09,9.726137719220029343e-01,1.479715268970812744e+12,5.904616740654383862e-03,0.000000000000000000e+00
3.547284662935834532e-04,2.693531941185942102e+01,1.125596263036622524e+00,1.828425108821697514e-06,1.538802397526945353e+09,3.674687606431111322e-04,3.343238389079375601e-03,2.393346096362565836e-07,2.335161794826929871e-01,3.778157077880444151e-04,2.663636237921849411e-07,6.862606050597181984e-01,1.841434845355643425e-03,6.909709813946866958e-09,9.726137719220029343e-01,1.608889531068422852e+12,6.136037449167325297e-03,1.803130831027472814e-14
3.955132974402244205e-04,2.643278841648820077e+01,1.108601243024976535e+00,2.032049601004823876e-06,1.301675585661857367e+09,3.827477173998670643e-04,8.596111331822703025e-03,2.470815432691187771e-07,2.359959416062932247e-01,3.935248795043392255e-04,3.055429969173747823e-07,6.880524048700986661e-01,1.984426296749396829e-03,8.045121779302732751e-09,9.726137719220029343e-01,1.733823329166100098e+12,6.348548375540250671e-03,3.700294726284545560e-14
6.448110713209645592e-04,2.434345498581562950e+01,1.035530635430101487e+00,3.278744316178274895e-06,6.148458623147640228e+08,4.617827012461860016e-04,1.259278982330949148e-01,2.867715301736551059e-07,2.476167631616862375e-01,4.747852791901633132e-04,5.652262870437696506e-07,6.956863477543547836e-01,2.783128104158017445e-03,1.590950683123617277e-08,9.726137719220029343e-01,2.431661202510446289e+12,7.379851215184991126e-03,1.720996922997674456e-13
9.858595774356218415e-04,2.272484220515979914e+01,9.761358577828868066e-01,4.995782448575094241e-06,3.210603825006401539e+08,5.467039151091355499e-04,1.068326835590593271e+00,3.288382694355239524e-07,2.583910338451254618e-01,5.620976495415875174e-04,9.632044599171839225e-07,7.017586464500615850e-01,3.744395770936786820e-03,2.871994264886773946e-08,9.726137719220029343e-01,3.271535330848793945e+12,8.386516990531618643e-03,3.963109864177548015e-13
1.524579433176455508e-03,2.122608005862708680e+01,9.188213776462905713e-01,7.739552581614476896e-06,1.650120987574220598e+08,6.535317225272536858e-04,9.018251543390926273e+00,3.811356578427962528e-07,2.701335583870868584e-01,6.719334451082217569e-04,1.663192037405882978e-06,7.074519747295570093e-01,5.091039763156321452e-03,5.259873791090801836e-08,9.726137719220029343e-01,4.448118595047724609e+12,9.538759191463790088e-03,8.264935892002739862e-13
2.355341179075506539e-03,1.987341214450218274e+01,8.651043634408640548e-01,1.204090488087315641e-05,8.506037906384618580e+07,7.846040524280172750e-04,7.697874619329626000e+01,4.446062442298275036e-07,2.825620046402938512e-01,8.066964247046845907e-04,2.865478537224567804e-06,7.125954909532415948e-01,6.933464720584033708e-03,9.607296834771028639e-08,9.726137719220029343e-01,6.057873202038520508e+12,1.082061219168349749e-02,1.634192649013623109e-12
3.642279179115624245e-03,1.864174635890231713e+01,8.145154706373899378e-01,1.884542516117566799e-05,4.383959154787176102e+07,9.463677539352390424e-04,6.576555484136054019e+02,5.221698577797263136e-07,2.957599858821392536e-01,9.730149636531481823e-04,4.938604677216568911e-06,7.172324162875065579e-01,9.469230901515801602e-03,1.755063599173904572e-07,9.726137719220029343e-01,8.273410543491694336e+12,1.225199587379067860e-02,3.159580984747797959e-12
5.635498155604337644e-03,1.751670298944664594e+01,7.669068245748632551e-01,2.965368262304223784e-05,2.260176803759434447e+07,1.146138464423710097e-03,5.629544983728367697e+03,6.171102413150176667e-07,3.097488963140007656e-01,1.178410688303129080e-03,8.511440348720664717e-06,7.213831577075807688e-01,1.296232254611558686e-02,3.205237458362931983e-07,9.726137719220029343e-01,1.132537765068182812e+13,1.384834279699129721e-02,6.043561150220971936e-12
8.724071972690591176e-03,1.648500481590217959e+01,7.220959583002160009e-01,4.689734017268730237e-05,1.165514932083126344e+07,1.393163421371289854e-03,4.825980789323789941e+04,7.335791829584815511e-07,3.245623840623430012e-01,1.432391213850724978e-03,1.467021735250340693e-05,7.250782443352647988e-01,1.778110619023227229e-02,5.852441654932181125e-07,9.726137719220029343e-01,1.553562194852215430e+13,1.562819356312832031e-02,1.150493132100745756e-11
1.351074400330034599e-02,1.553556701429423903e+01,6.799221417414018642e-01,7.451223789809870266e-05,6.012080855616923422e+06,1.698895591507723840e-03,4.141840452092474443e+05,8.767134316613684326e-07,3.402324224158676524e-01,1.746731992238295932e-03,2.528672130487209143e-05,7.283510505793432399e-01,2.443549276480385876e-02,1.068302862302742926e-06,9.726137719220029343e-01,2.134966034500028906e+13,1.761191095988585975e-02,2.185903593714132896e-11
2.092690500683568391e-02,1.465916162324970884e+01,6.402446236678385194e-01,1.188677670052584452e-04,3.102981088204711676e+06,2.077447168327135711e-03,3.555861540919669438e+06,1.052836583102559744e-06,3.567875854412628223e-01,2.135942578955927953e-03,4.358045202923893624e-05,7.312364977293430712e-01,3.362912903339972115e-02,1.949067285413376133e-06,9.726137719220029343e-01,2.938227968111266406e+13,1.982155403315694758e-02,4.149894683235504522e-11
3.239631856540276661e-02,1.384866986076056605e+01,6.029657101115631912e-01,1.901910212634921697e-04,1.603956373912946554e+06,2.545727146993334404e-03,3.046714742334982380e+07,1.269514392921470825e-06,3.742385464740259349e-01,2.617408081691737030e-03,7.504351201678801026e-05,7.337684439702416572e-01,4.631822216188157676e-02,3.551076953957584210e-06,9.726137719220029343e-01,4.046893264885523438e+13,2.227881549223149904e-02,7.870202644345588539e-11
5.002466704423184224e-02,1.310003997310190726e+01,5.680865984687429870e-01,3.044496198403890698e-04,8.327866817259533564e+05,3.122290983916663210e-03,2.586693081097484231e+08,1.535022511555592567e-06,3.925360043801750520e-01,3.210206429368810208e-03,1.288044222119880231e-04,7.359760595494286850e-01,6.374218037844740781e-02,6.443781318748412296e-06,9.726137719220029343e-01,5.569250900025865625e+13,2.499801988066208819e-02,1.487125770564444825e-10
7.668837720264158608e-02,1.241363144035281074e+01,5.357817994171939491e-01,4.848997779359619665e-04,4.373622621725314530e+05,3.823120557733406064e-03,2.134146873923532009e+09,1.856425766074710637e-06,4.114915515741973118e-01,3.930769508001573723e-03,2.191074024756326703e-04,7.378807676604732801e-01,8.733169605752086340e-02,1.157195323118444458e-05,9.726137719220029343e-01,7.630302634479479688e+13,2.797086972543672001e-02,2.780785429863503599e-10
1.159475251959412589e-01,1.179180746919483802e+01,5.062935290184562565e-01,7.625495751765049013e-04,2.346388542314236693e+05,4.657381720646992102e-03,1.652834971810666656e+10,2.237683521278859364e-06,4.307823920869705558e-01,4.788521255917896693e-03,3.664100282941067056e-04,7.395041259362431507e-01,1.185222214937438207e-01,2.038273545525136219e-05,9.726137719220029343e-01,1.035546611063660625e+14,3.116090180486289982e-02,5.096219114462677839e-10
1.722961950703776335e-01,1.123153123037422318e+01,4.795791415190444607e-01,1.178975307366944255e-03,1.292518986002941383e+05,5.633639269776569321e-03,1.171708316540300751e+11,2.682528866138695758e-06,4.501799771904754222e-01,5.792267632241947413e-03,5.998247723977756171e-04,7.408847553167395850e-01,1.589024103643335017e-01,3.504962495256253545e-05,9.726137719220029343e-01,1.388354440785759844e+14,3.453770845047689914e-02,9.107912925467123715e-10
2.519399696328543103e-01,1.072397493425121517e+01,4.552888710449704002e-01,1.793717003096058143e-03,7.296778569998468447e+04,6.768579912671465575e-03,7.628016984660888672e+11,3.198423666859705652e-06,4.696658347480502926e-01,6.959165198016813679e-03,9.627324526952284146e-04,7.420733821510052675e-01,2.106179788417994192e-01,5.894078122862175264e-05,9.726137719220029343e-01,1.840201199993672188e+14,3.810219095264776035e-02,1.590270860346457398e-09
3.636766003602208142e-01,1.025938257949805532e+01,4.330026548700154909e-01,2.694053384262162960e-03,4.201166914347035345e+04,8.088235088871303588e-03,4.640665106117336914e+12,3.797072089193680337e-06,4.893391729070015739e-01,8.315978369181395435e-03,1.521110426663088320e-03,7.431184181830972069e-01,2.766194326922872260e-01,9.736001743891236411e-05,9.726137719220029343e-01,2.416865904711132812e+14,4.187752337020450577e-02,2.725445335613526410e-09
5.200367067736342275e-01,9.829365968353148020e+00,4.123482032593470126e-01,4.008858652749977894e-03,2.454024859293676127e+04,9.627822189028538771e-03,2.688406823117650000e+13,4.494326282097369558e-06,5.093416802856616243e-01,9.898916164843927362e-03,2.376192732815057395e-03,7.440618991275216310e-01,3.608935782395998881e-01,1.587249391239001532e-04,9.726137719220029343e-01,3.153181885983993125e+14,4.589899352951163497e-02,4.607957082186190898e-09
7.388110480640640576e-01,9.427498493870437812e+00,3.930358616707824715e-01,5.928470312396555593e-03,1.447863928386099724e+04,1.143156051495878775e-02,1.506329468702521562e+14,5.310100592073590030e-06,5.298153008644700401e-01,1.175344298525470704e-02,3.683707895598088786e-03,7.449407808729686664e-01,4.687244137500630181e-01,2.564274127314936113e-04,9.726137719220029343e-01,4.095316237447505625e+14,5.020698289745646054e-02,7.718781922267949707e-09
1.045147763256124129e+00,9.049156627170560796e+00,3.748548906895720068e-01,8.733519690680339662e-03,8.599412491859193324e+03,1.355298966347361772e-02,8.257365736710283750e+14,6.268530638643100197e-06,5.508841003606362863e-01,1.393460596048446201e-02,5.683261263981001336e-03,7.457901590822482163e-01,6.070221315379175087e-01,4.117697326672475986e-04,9.726137719220029343e-01,5.303644356580935625e+14,5.484303586836441341e-02,1.285181360083443003e-08
1.474482199095300317e+00,8.691123537368051544e+00,3.576564531200519537e-01,1.283719540517050742e-02,5.129800843297011852e+03,1.605603658487204585e-02,4.463628865790596000e+15,7.398489241728323626e-06,5.726504681712661915e-01,1.650813205445710377e-02,8.743496950667109177e-03,7.466470688095986352e-01,7.847603741249381537e-01,6.586058457737912130e-04,9.726137719220029343e-01,6.856570318039693750e+14,5.984815763397249855e-02,2.131763683126380351e-08
2.076663910609923391e+00,8.351192431853634801e+00,3.413354220856328336e-01,1.884758432085647736e-02,3.068801097176346047e+03,1.901694519718179210e-02,2.391734639189433600e+16,8.734515133910798141e-06,5.951982446225321244e-01,1.955241201201788487e-02,1.343185338661585446e-02,7.475546217499727808e-01,1.013565009591367305e+00,1.050685259090620906e-03,9.726137719220029343e-01,8.855671093124505000e+14,6.526238238515122414e-02,3.528025924651337716e-08
2.921779207673441459e+00,8.027859701907432921e+00,3.258158210989334225e-01,2.765983214915955501e-02,1.839363848330695191e+03,2.252714314534280324e-02,1.274542334018639680e+17,1.031819047839324450e-05,6.185976794665816181e-01,2.316144783846359884e-02,2.062259824574410455e-02,7.485668396458806662e-01,1.308503475671985772e+00,1.673264292054614261e-03,9.726137719220029343e-01,1.143259316877274750e+15,7.112476278736709623e-02,5.831455684919652796e-08
4.108365815625086626e+00,7.720118612212704789e+00,3.110407451027707437e-01,4.059226131601260945e-02,1.103986863275507176e+03,2.669724569211702481e-02,6.768789158894915840e+17,1.220001410226094437e-05,6.429085780916777848e-01,2.744896942941700904e-02,3.166438880353096563e-02,7.497552933946768361e-01,1.689141012348948978e+00,2.661419891431728284e-03,9.726137719220029343e-01,1.475828101179259000e+15,7.747320407874980219e-02,9.633089781277975649e-08
5.775008223417092523e+00,7.427331951967198087e+00,2.969663234865962398e-01,5.958489329985715982e-02,6.633656992546148103e+02,3.166266884844581159e-02,3.587009856116177408e+18,1.444161549401476677e-05,6.681738991219725587e-01,3.255420575207004785e-02,4.863968393488909969e-02,7.512213592356704606e-01,2.180962443345837443e+00,4.228771425175525088e-03,9.726137719220029343e-01,1.905539938924547500e+15,8.434371719805797141e-02,1.591132002111183441e-07
8.116742341805641914e+00,7.149140675072918505e+00,2.835603239770722594e-01,8.746685331999114188e-02,3.990927961272671496e+02,3.759198092912834077e-02,1.898133911038420173e+19,1.711635975440784006e-05,6.943660323524601941e-01,3.865047155855301508e-02,7.475859981114117703e-02,7.531315574488114395e-01,2.817322799918014375e+00,6.711685467451149190e-03,9.726137719220029343e-01,2.461537626411669500e+15,9.176846499484198061e-02,2.628924039422358261e-07
1.140845880672631019e+01,6.885284097355569344e+00,2.708127675686231584e-01,1.281384415889501305e-01,2.406214148495457152e+02,4.470167709670080231e-02,1.003102401322162586e+20,2.029441882476434869e-05,7.210823845153808698e-01,4.596035794184248624e-02,1.148848599478379390e-01,7.558648775859286850e-01,3.642281617499995239e+00,1.063150823271006608e-02,9.726137719220029343e-01,3.182316647465707500e+15,9.977041391929271363e-02,4.347299225814839467e-07
1.603942363023258366e+01,6.634870369150815961e+00,2.587952269536937799e-01,1.852722067983414711e-01,1.460470101166956169e+02,5.329432979173625434e-02,5.286318496772862771e+20,2.392846039265943633e-05,7.459922720043878908e-01,5.479495698114595498e-02,1.756441954805645911e-01,7.607005597192818547e-01,4.715557074348444289e+00,1.673877270733334019e-02,9.726137719220029343e-01,4.120053679449941500e+15,1.083438014873176897e-01,7.205187497336097935e-07
2.256790549799148948e+01,6.394834234240499349e+00,2.478626594739327671e-01,2.522050610801002679e-01,9.084393610697877364e+01,6.389794420723733659e-02,2.756173659418549289e+21,2.730353577089098330e-05,7.593135190222195519e-01,6.569714109740316943e-02,2.614138891129681452e-01,7.722996029185530409e-01,6.124733470539899471e+00,2.577360584035709792e-02,9.726137719220029343e-01,5.351272452668760000e+15,1.173687225233972647e-01,1.202974526427723565e-06
3.139436351469424835e+01,6.178526161909522862e+00,2.389022540624810287e-01,2.944606508182823212e-01,6.058937980149376301e+01,7.708622807799718479e-02,1.310793550680726857e+22,2.850772072168576541e-05,7.464861620729660308e-01,7.925677211588874616e-02,3.609128066707526505e-01,7.975561858358543033e-01,7.934368435852016788e+00,3.724635350159784947e-02,9.726137719220029343e-01,6.932377946620530000e+15,1.260339758715297021e-01,2.008792923478504998e-06
