r, v_phi_cs, cs, vr_cs, sigma, Mdisk, Ew, Mdot_acc, Qtoomre, Mdisk_Menv, Rcj, dlnJ_dlnx, J, factor3
3.837697103571006203e-04,3.818233622097350377e+01,1.204278957951583795e+00,1.510687635522354135e-06,3.235726942437976837e+09,9.144600222579764640e-04,0.000000000000000000e+00,4.812947485568296742e-07,1.663156022642692800e-01,5.896655201216749638e-04,1.178000068462703972e-07,6.842107162336252824e-01,2.527480554096884179e-03,2.812582307151673843e-09
4.336257387849190201e-04,3.737551657284451778e+01,1.183875688503348123e+00,1.700053993543907713e-06,2.681272228941609859e+09,9.567897257939837145e-04,1.678275593984712233e-03,4.985303129853747339e-07,1.682875127395906389e-01,6.169607173360092253e-04,1.374065566333567482e-07,6.862605713216176628e-01,2.748121258340089409e-03,3.336684927963662836e-09
4.834817672127374199e-04,3.667820318843649119e+01,1.166000725299530361e+00,1.889382298019017391e-06,2.268092759738050461e+09,9.965720080886721326e-04,4.315170569154464994e-03,5.146670521361818698e-07,1.700745965183469155e-01,6.426132768902277550e-04,1.575941482591348897e-07,6.880523671404238373e-01,2.961518884827906480e-03,3.884973097896067179e-09
7.882273288837937479e-04,3.377903833284609192e+01,1.089146776941152472e+00,3.048548269598518336e-06,1.071332556616772294e+09,1.202357759807318226e-03,6.321464880866577152e-02,5.973406477264647341e-07,1.784493435756067392e-01,7.753088123617314295e-04,2.913238839263796000e-07,6.956862850414007315e-01,4.153485638829862436e-03,7.682668872415404647e-09
1.205131043896001545e-03,3.153304390961315917e+01,1.026676671379662675e+00,4.645037752712253210e-06,5.594282824481928349e+08,1.423469909657258062e-03,5.362912825743439971e-01,6.849650707011339923e-07,1.862140181429150498e-01,9.178871730040566532e-04,4.960961481848696044e-07,7.017585562617413286e-01,5.588064319145724830e-03,1.386881268654445464e-08
1.863670131363645002e-03,2.945335917717502738e+01,9.663947147225132595e-01,7.196168929187246873e-06,2.875237956580638289e+08,1.701620239522580848e-03,4.527085388632013263e+00,7.938994931531196239e-07,1.946764622258346789e-01,1.097245105488699321e-03,8.559294487248344932e-07,7.074518230639142979e-01,7.597766763543832916e-03,2.539982711264704094e-08
2.879202038787703494e-03,2.757639837925714943e+01,9.098966054390089653e-01,1.119551089263997820e-05,1.482129934549970925e+08,2.042895529056943087e-03,3.864247575454017891e+01,9.261070119834006288e-07,2.036332039078129208e-01,1.317307509759866029e-03,1.473329030533477444e-06,7.125952375869581967e-01,1.034735295178495357e-02,4.639335427340891869e-08
4.452348136650344755e-03,2.586735364714573038e+01,8.566890317253874620e-01,1.752218183707339943e-05,7.638868937527415156e+07,2.464077527652247697e-03,3.301297814837872693e+02,1.087668007303060839e-06,2.131444282848998228e-01,1.588895656012938090e-03,2.536671538551991556e-06,7.172319772898272383e-01,1.413161689529662292e-02,8.475086809094846860e-08
6.888733700949347359e-03,2.430630382064836326e+01,8.066175556138138747e-01,2.757094262802942995e-05,3.938384881284979731e+07,2.984196515993118616e-03,2.825730825307519808e+03,1.285415780974336146e-06,2.232252850126748012e-01,1.924280720772671800e-03,4.366761252693743598e-06,7.213823415697979691e-01,1.934432238877641444e-02,1.547745399635734872e-07
1.066337540602167559e-02,2.287493188834540803e+01,7.594939357055305873e-01,4.360011867544519927e-05,2.031146279696055502e+07,3.627252406005123265e-03,2.421807163040173691e+04,1.527969457779193740e-06,2.338990113311399943e-01,2.338938416704472185e-03,7.516248907393743041e-06,7.250765621883705769e-01,2.653422160358259035e-02,2.825745966130019437e-07
1.650982379036983194e-02,2.155820312661092331e+01,7.151612482752237598e-01,6.925436906278949602e-05,1.048135660488522053e+07,4.422729143352791686e-03,2.076717982964055846e+05,1.825903734167577796e-06,2.451848942533793041e-01,2.851880691550554882e-03,1.293295546033336876e-05,7.283471597005152232e-01,3.645746808656143145e-02,5.156279897563260713e-07
2.554944108207244172e-02,2.034438707504428834e+01,6.735095475878127846e-01,1.103742368276089939e-04,5.416953513268231414e+06,5.405961841821607140e-03,1.777596358903425280e+06,2.191869905196968325e-06,2.570902111910906007e-01,3.485892465090603600e-03,2.222907641072990618e-05,7.312266570781884578e-01,5.014149789378317262e-02,9.395905830412823828e-07
