r, v_phi_cs, cs, vr_cs, sigma, Mdisk, Ew, Mdot_acc, Qtoomre, Mdisk_Menv, Rcj, dlnJ_dlnx, J, factor3
1.000527183299817352e-03,4.331057659338606669e+01,1.113396487174877603e+00,1.468967293113244578e-06,1.364966837727628946e+09,2.621991958152206179e-03,0.000000000000000000e+00,4.758606094650101425e-07,1.466228043108214474e-01,2.218799355901531802e-03,9.141146857599953080e-08,6.842107058886313098e-01,2.948369020633273465e-03,2.125591262163649428e-09
1.130506986612032179e-03,4.239539357121448404e+01,1.094532976718313844e+00,1.653103958702272962e-06,1.131074325760488749e+09,2.743362091701030941e-03,2.100265716431015672e-03,4.929015713025640410e-07,1.483612283289878209e-01,2.321505992093351664e-03,1.066218595303411371e-07,6.862605595884729848e-01,3.205751892382853116e-03,2.521678501430465622e-09
1.260486789924247005e-03,4.160442451596477298e+01,1.078006970589591385e+00,1.837203621474446096e-06,9.567777030910171270e+08,2.857428113124736973e-03,5.400188647484197545e-03,5.088561142363872588e-07,1.499367102777339200e-01,2.418031694271145088e-03,1.222823230871073494e-07,6.880523540146324946e-01,3.454685532907083353e-03,2.936043817869378561e-09
2.054989848955600384e-03,3.831587485765354018e+01,1.006952905285203759e+00,2.964357105104549790e-06,4.519335031128903627e+08,3.447468686185699814e-03,7.910947135724009927e-02,5.905962558297378863e-07,1.573198350220178232e-01,2.917339725858722217e-03,2.260092009202895512e-07,6.956862631619298298e-01,4.845144355784081029e-03,5.806128333102219181e-09
3.141900877133912365e-03,3.576822213889977320e+01,9.491971814333026725e-01,4.516756762320043102e-06,2.359905569952812791e+08,4.081453996874433339e-03,6.711378084340221539e-01,6.772313266541323927e-07,1.641651242160808988e-01,3.453834963623877985e-03,3.848081500710365524e-07,7.017585229345937314e-01,6.518616146526483301e-03,1.048126796144147776e-08
4.858778170884786585e-03,3.340921818892775264e+01,8.934645294059019305e-01,6.997430943480087506e-06,1.212897939531786591e+08,4.878981450048894969e-03,5.665382447055085535e+00,7.849356561797387549e-07,1.716255548060331704e-01,4.128723913574868475e-03,6.637954397665603440e-07,7.074517656778898100e-01,8.862981334505710268e-03,1.919574919474290797e-08
7.506362561313640464e-03,3.128017010570943057e+01,8.412302856231809178e-01,1.088630595968831038e-05,6.252269379626601189e+07,5.857501210444647152e-03,4.835856584623739707e+01,9.156498846663112413e-07,1.795217345495162264e-01,4.956773369391308595e-03,1.142363192135304783e-06,7.125951350487282898e-01,1.207042821366719441e-02,3.506139792619655014e-08
1.160764918181999596e-02,2.934160494044124690e+01,7.920386356671179628e-01,1.703815135985819519e-05,3.222432455299220607e+07,7.065120559218628256e-03,4.131291699948048972e+02,1.075384386759649654e-06,1.879066660727242710e-01,5.978692992334101036e-03,1.966365348534867859e-06,7.172317794821614356e-01,1.648479842096934114e-02,6.404932447053481332e-08
1.795918154988266485e-02,2.757095916974447292e+01,7.457477118483945011e-01,2.680880710745462580e-05,1.661441332771678641e+07,8.556358808317336695e-03,3.535946474927813142e+03,1.270889411996305988e-06,1.967934913309990486e-01,7.240618474717243694e-03,3.384043770704017235e-06,7.213819152493332609e-01,2.256521521352671325e-02,1.169658088875247170e-07
2.779798948979289239e-02,2.594756340493422897e+01,7.021865020237140209e-01,4.239195280936671893e-05,8.569412159568024799e+06,1.039983244119680947e-02,3.029848356395675728e+04,1.510661317148244281e-06,2.062019011184702266e-01,8.800614910456498394e-03,5.822583030804370032e-06,7.250755311776750922e-01,3.095077867222049278e-02,2.135273228393450184e-07
4.302906872976285102e-02,2.445470487791319059e+01,6.612196536760704957e-01,6.731891227819148792e-05,4.423612510071543045e+06,1.267923773361134127e-02,2.596147652520895936e+05,1.805047600964020647e-06,2.161460167801358412e-01,1.072950831492449145e-02,1.001262715397927533e-05,7.283444406328904996e-01,4.251862986644949771e-02,3.895118599932533519e-07
6.653840890925352691e-02,2.308006839887752548e+01,6.227741812508645891e-01,1.072023702518948930e-04,2.288813359992228448e+06,1.549254020710732691e-02,2.216454804686482064e+06,2.166130260867487494e-06,2.266226096482953090e-01,1.311019971893173479e-02,1.718728939530913858e-05,7.312192728270696662e-01,5.844525222123513053e-02,7.090424373320989614e-07
1.024886395346242679e-01,2.181799031938346900e+01,5.869174921135463796e-01,1.705931061397357245e-04,1.192123832964720437e+06,1.893974651680207025e-02,1.864922245990306512e+07,2.606168069442285274e-06,2.375757270216129480e-01,1.602731741482300160e-02,2.934706736339704169e-05,7.337241000268845958e-01,8.020042332100550675e-02,1.282943976976559633e-06
